"global_step","251221_A2C - train/final_neg_count","251221_A2C - train/final_neg_count__MIN","251221_A2C - train/final_neg_count__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"91500","8","8","8","182","182","182"
"92000","12","12","12","183","183","183"
"92500","14","14","14","184","184","184"
"93000","7","7","7","185","185","185"
"93500","4","4","4","186","186","186"
"94000","9","9","9","187","187","187"
"94500","6","6","6","188","188","188"
"95000","10","10","10","189","189","189"
"95500","8","8","8","190","190","190"
"96000","11","11","11","191","191","191"
"96500","7","7","7","192","192","192"
"97000","11","11","11","193","193","193"
"97500","13","13","13","194","194","194"
"98000","9","9","9","195","195","195"
"98500","15","15","15","196","196","196"
"99000","3","3","3","197","197","197"
"99500","4","4","4","198","198","198"
"100000","12","12","12","199","199","199"
"100500","12","12","12","200","200","200"
"101000","7","7","7","201","201","201"
"101500","3","3","3","202","202","202"
"102000","10","10","10","203","203","203"
"102500","3","3","3","204","204","204"
"103000","8","8","8","205","205","205"
"103500","3","3","3","206","206","206"
"104000","5","5","5","207","207","207"
"104500","3","3","3","208","208","208"
"105000","13","13","13","209","209","209"
"105500","10","10","10","210","210","210"
"106000","12","12","12","211","211","211"
"106500","6","6","6","212","212","212"
"107000","3","3","3","213","213","213"
"107500","3","3","3","214","214","214"
"108000","6","6","6","215","215","215"
"108500","7","7","7","216","216","216"
"109000","5","5","5","217","217","217"
"109500","4","4","4","218","218","218"
"110000","3","3","3","219","219","219"
"110500","3","3","3","220","220","220"
"111000","9","9","9","221","221","221"
"111500","5","5","5","222","222","222"
"112000","3","3","3","223","223","223"
"112500","7","7","7","224","224","224"
"113000","14","14","14","225","225","225"
"113500","8","8","8","226","226","226"
"114000","12","12","12","227","227","227"
"114500","15","15","15","228","228","228"
"115000","3","3","3","229","229","229"
"115500","10","10","10","230","230","230"
"116000","5","5","5","231","231","231"
"116500","11","11","11","232","232","232"
"117000","15","15","15","233","233","233"
"117500","10","10","10","234","234","234"
"118000","7","7","7","235","235","235"
"118500","3","3","3","236","236","236"
"119000","7","7","7","237","237","237"
"119500","11","11","11","238","238","238"
"120000","4","4","4","239","239","239"
"120500","3","3","3","240","240","240"
"121000","3","3","3","241","241","241"
"121500","3","3","3","242","242","242"
"122000","5","5","5","243","243","243"
"122500","3","3","3","244","244","244"
"123000","3","3","3","245","245","245"
"123500","4","4","4","246","246","246"
"124000","3","3","3","247","247","247"
"124500","3","3","3","248","248","248"
"125000","3","3","3","249","249","249"
"125500","5","5","5","250","250","250"
"126000","5","5","5","251","251","251"
"126500","11","11","11","252","252","252"
"127000","6","6","6","253","253","253"
"127500","3","3","3","254","254","254"
"128000","5","5","5","255","255","255"
"128500","3","3","3","256","256","256"
"129000","5","5","5","257","257","257"
"129500","3","3","3","258","258","258"
"130000","13","13","13","259","259","259"
"130500","13","13","13","260","260","260"
"131000","13","13","13","261","261","261"
"131500","8","8","8","262","262","262"
"132000","6","6","6","263","263","263"
"132500","3","3","3","264","264","264"
"133000","7","7","7","265","265","265"
"133500","3","3","3","266","266","266"
"134000","5","5","5","267","267","267"
"134500","3","3","3","268","268","268"
"135000","5","5","5","269","269","269"
"135500","5","5","5","270","270","270"
"136000","7","7","7","271","271","271"
"136500","9","9","9","272","272","272"
"137000","14","14","14","273","273","273"
"137500","5","5","5","274","274","274"
"138000","11","11","11","275","275","275"
"138500","8","8","8","276","276","276"
"139000","13","13","13","277","277","277"
"139500","3","3","3","278","278","278"
"140000","15","15","15","279","279","279"
"140500","8","8","8","280","280","280"
"141000","7","7","7","281","281","281"
"141500","13","13","13","282","282","282"
"142000","15","15","15","283","283","283"
