"global_step","251221_A2C - train/explained_variance","251221_A2C - train/explained_variance__MIN","251221_A2C - train/explained_variance__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"156500","-0.03290963172912598","-0.03290963172912598","-0.03290963172912598","312","312","312"
"157000","-0.018888235092163086","-0.018888235092163086","-0.018888235092163086","313","313","313"
"157500","0","0","0","314","314","314"
"158000","0.09324556589126587","0.09324556589126587","0.09324556589126587","315","315","315"
"158500","0.01618129014968872","0.01618129014968872","0.01618129014968872","316","316","316"
"159000","-0.45211613178253174","-0.45211613178253174","-0.45211613178253174","317","317","317"
"159500","0.04992938041687012","0.04992938041687012","0.04992938041687012","318","318","318"
"160000","0.004040241241455078","0.004040241241455078","0.004040241241455078","319","319","319"
"160500","-0.03852260112762451","-0.03852260112762451","-0.03852260112762451","320","320","320"
"161000","-0.017380952835083008","-0.017380952835083008","-0.017380952835083008","321","321","321"
"161500","-0.0008034706115722656","-0.0008034706115722656","-0.0008034706115722656","322","322","322"
"162000","0.0012653470039367676","0.0012653470039367676","0.0012653470039367676","323","323","323"
"162500","0","0","0","324","324","324"
"163000","0.04103434085845947","0.04103434085845947","0.04103434085845947","325","325","325"
"163500","-23.516510009765625","-23.516510009765625","-23.516510009765625","326","326","326"
"164000","-4.616532325744629","-4.616532325744629","-4.616532325744629","327","327","327"
"164500","-1.941882848739624","-1.941882848739624","-1.941882848739624","328","328","328"
"165000","0","0","0","329","329","329"
"165500","0","0","0","330","330","330"
"166000","-0.000797271728515625","-0.000797271728515625","-0.000797271728515625","331","331","331"
"166500","-0.017390727996826172","-0.017390727996826172","-0.017390727996826172","332","332","332"
"167000","0.0044574737548828125","0.0044574737548828125","0.0044574737548828125","333","333","333"
"167500","-0.03363358974456787","-0.03363358974456787","-0.03363358974456787","334","334","334"
"168000","0.055861830711364746","0.055861830711364746","0.055861830711364746","335","335","335"
"168500","0.19006288051605225","0.19006288051605225","0.19006288051605225","336","336","336"
"169000","-0.002339959144592285","-0.002339959144592285","-0.002339959144592285","337","337","337"
"169500","0.01378399133682251","0.01378399133682251","0.01378399133682251","338","338","338"
"170000","0.18044859170913696","0.18044859170913696","0.18044859170913696","339","339","339"
"170500","0.015520036220550537","0.015520036220550537","0.015520036220550537","340","340","340"
"171000","-0.002710700035095215","-0.002710700035095215","-0.002710700035095215","341","341","341"
"171500","-0.0002491474151611328","-0.0002491474151611328","-0.0002491474151611328","342","342","342"
"172000","-0.0017139911651611328","-0.0017139911651611328","-0.0017139911651611328","343","343","343"
"172500","0","0","0","344","344","344"
"173000","0","0","0","345","345","345"
"173500","-0.15478813648223877","-0.15478813648223877","-0.15478813648223877","346","346","346"
"174000","-0.004578828811645508","-0.004578828811645508","-0.004578828811645508","347","347","347"
"174500","0.03586781024932861","0.03586781024932861","0.03586781024932861","348","348","348"
"175000","-0.039766550064086914","-0.039766550064086914","-0.039766550064086914","349","349","349"
"175500","0","0","0","350","350","350"
"176000","0.18689996004104614","0.18689996004104614","0.18689996004104614","351","351","351"
"176500","0.14667105674743652","0.14667105674743652","0.14667105674743652","352","352","352"
"177000","0.05997800827026367","0.05997800827026367","0.05997800827026367","353","353","353"
"177500","-1.565298080444336","-1.565298080444336","-1.565298080444336","354","354","354"
"178000","1.1920928955078125e-7","1.1920928955078125e-7","1.1920928955078125e-7","355","355","355"
"178500","0.028609752655029297","0.028609752655029297","0.028609752655029297","356","356","356"
"179000","0.5852658152580261","0.5852658152580261","0.5852658152580261","357","357","357"
"179500","0.003640294075012207","0.003640294075012207","0.003640294075012207","358","358","358"
"180000","-0.019324421882629395","-0.019324421882629395","-0.019324421882629395","359","359","359"
"180500","0.006011068820953369","0.006011068820953369","0.006011068820953369","360","360","360"
"181000","-0.0006290674209594727","-0.0006290674209594727","-0.0006290674209594727","361","361","361"
