"global_step","251221_A2C - train/final_feat_cross","251221_A2C - train/final_feat_cross__MIN","251221_A2C - train/final_feat_cross__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"68000","2.2755534648895264","2.2755534648895264","2.2755534648895264","135","135","135"
"68500","2.05373477935791","2.05373477935791","2.05373477935791","136","136","136"
"69000","2.0358729362487793","2.0358729362487793","2.0358729362487793","137","137","137"
"69500","2.0984842777252197","2.0984842777252197","2.0984842777252197","138","138","138"
"70000","1.9649850130081177","1.9649850130081177","1.9649850130081177","139","139","139"
"70500","1.8664993047714233","1.8664993047714233","1.8664993047714233","140","140","140"
"71000","2.1035799980163574","2.1035799980163574","2.1035799980163574","141","141","141"
"71500","1.9690485000610352","1.9690485000610352","1.9690485000610352","142","142","142"
"72000","1.8010272979736328","1.8010272979736328","1.8010272979736328","143","143","143"
"72500","2.202099323272705","2.202099323272705","2.202099323272705","144","144","144"
"73000","1.9057096242904663","1.9057096242904663","1.9057096242904663","145","145","145"
"73500","2.0535552501678467","2.0535552501678467","2.0535552501678467","146","146","146"
"74000","2.1172420978546143","2.1172420978546143","2.1172420978546143","147","147","147"
"74500","2.1640381813049316","2.1640381813049316","2.1640381813049316","148","148","148"
"75000","2.1327898502349854","2.1327898502349854","2.1327898502349854","149","149","149"
"75500","1.729058861732483","1.729058861732483","1.729058861732483","150","150","150"
"76000","2.288928747177124","2.288928747177124","2.288928747177124","151","151","151"
"76500","2.153691291809082","2.153691291809082","2.153691291809082","152","152","152"
"77000","2.0428640842437744","2.0428640842437744","2.0428640842437744","153","153","153"
"77500","2.224860429763794","2.224860429763794","2.224860429763794","154","154","154"
"78000","2.2953126430511475","2.2953126430511475","2.2953126430511475","155","155","155"
"78500","2.010657548904419","2.010657548904419","2.010657548904419","156","156","156"
"79000","2.0794272422790527","2.0794272422790527","2.0794272422790527","157","157","157"
"79500","2.1050825119018555","2.1050825119018555","2.1050825119018555","158","158","158"
"80000","1.9823235273361206","1.9823235273361206","1.9823235273361206","159","159","159"
"80500","1.2036912441253662","1.2036912441253662","1.2036912441253662","160","160","160"
"81000","1.4049673080444336","1.4049673080444336","1.4049673080444336","161","161","161"
"81500","1.7906039953231812","1.7906039953231812","1.7906039953231812","162","162","162"
"82000","1.5416449308395386","1.5416449308395386","1.5416449308395386","163","163","163"
"82500","2.0499393939971924","2.0499393939971924","2.0499393939971924","164","164","164"
"83000","2.545747995376587","2.545747995376587","2.545747995376587","165","165","165"
"83500","2.3705601692199707","2.3705601692199707","2.3705601692199707","166","166","166"
"84000","1.3604626655578613","1.3604626655578613","1.3604626655578613","167","167","167"
"84500","1.6091582775115967","1.6091582775115967","1.6091582775115967","168","168","168"
"85000","2.2828710079193115","2.2828710079193115","2.2828710079193115","169","169","169"
"85500","1.9070510864257812","1.9070510864257812","1.9070510864257812","170","170","170"
"86000","1.9571404457092285","1.9571404457092285","1.9571404457092285","171","171","171"
"86500","2.0497350692749023","2.0497350692749023","2.0497350692749023","172","172","172"
"87000","1.8540114164352417","1.8540114164352417","1.8540114164352417","173","173","173"
"87500","1.7859069108963013","1.7859069108963013","1.7859069108963013","174","174","174"
"88000","1.9549567699432373","1.9549567699432373","1.9549567699432373","175","175","175"
"88500","2.2664787769317627","2.2664787769317627","2.2664787769317627","176","176","176"
"89000","2.0112550258636475","2.0112550258636475","2.0112550258636475","177","177","177"
"89500","1.5353593826293945","1.5353593826293945","1.5353593826293945","178","178","178"
"90000","1.9343916177749634","1.9343916177749634","1.9343916177749634","179","179","179"
"90500","2.083686113357544","2.083686113357544","2.083686113357544","180","180","180"
"91000","1.91278874874115","1.91278874874115","1.91278874874115","181","181","181"
"91500","1.9968844652175903","1.9968844652175903","1.9968844652175903","182","182","182"
"92000","2.332740306854248","2.332740306854248","2.332740306854248","183","183","183"
"92500","2.0154826641082764","2.0154826641082764","2.0154826641082764","184","184","184"
"93000","2.325246572494507","2.325246572494507","2.325246572494507","185","185","185"
"93500","1.9060568809509277","1.9060568809509277","1.9060568809509277","186","186","186"
"94000","1.880022644996643","1.880022644996643","1.880022644996643","187","187","187"
"94500","2.1642651557922363","2.1642651557922363","2.1642651557922363","188","188","188"
"95000","1.921799898147583","1.921799898147583","1.921799898147583","189","189","189"
"95500","1.9828929901123047","1.9828929901123047","1.9828929901123047","190","190","190"
"96000","1.9860236644744873","1.9860236644744873","1.9860236644744873","191","191","191"
"96500","1.9406955242156982","1.9406955242156982","1.9406955242156982","192","192","192"
"97000","1.9346591234207153","1.9346591234207153","1.9346591234207153","193","193","193"
"97500","2.188361167907715","2.188361167907715","2.188361167907715","194","194","194"
"98000","2.149327278137207","2.149327278137207","2.149327278137207","195","195","195"
"98500","2.2213895320892334","2.2213895320892334","2.2213895320892334","196","196","196"
"99000","1.9026907682418823","1.9026907682418823","1.9026907682418823","197","197","197"
"99500","2.2427566051483154","2.2427566051483154","2.2427566051483154","198","198","198"
"100000","2.0584311485290527","2.0584311485290527","2.0584311485290527","199","199","199"
"100500","1.8725565671920776","1.8725565671920776","1.8725565671920776","200","200","200"
"101000","2.0646278858184814","2.0646278858184814","2.0646278858184814","201","201","201"
"101500","2.1977837085723877","2.1977837085723877","2.1977837085723877","202","202","202"
"102000","1.9944568872451782","1.9944568872451782","1.9944568872451782","203","203","203"
"102500","2.00645112991333","2.00645112991333","2.00645112991333","204","204","204"
"103000","1.5826904773712158","1.5826904773712158","1.5826904773712158","205","205","205"
"103500","2.078937292098999","2.078937292098999","2.078937292098999","206","206","206"
"104000","2.0849788188934326","2.0849788188934326","2.0849788188934326","207","207","207"
"104500","1.9258044958114624","1.9258044958114624","1.9258044958114624","208","208","208"
"105000","2.130037307739258","2.130037307739258","2.130037307739258","209","209","209"
"105500","2.0221152305603027","2.0221152305603027","2.0221152305603027","210","210","210"
"106000","1.9504408836364746","1.9504408836364746","1.9504408836364746","211","211","211"
"106500","2.0061957836151123","2.0061957836151123","2.0061957836151123","212","212","212"
"107000","2.314084768295288","2.314084768295288","2.314084768295288","213","213","213"
"107500","2.089266300201416","2.089266300201416","2.089266300201416","214","214","214"
"108000","1.5489083528518677","1.5489083528518677","1.5489083528518677","215","215","215"
"108500","1.7578513622283936","1.7578513622283936","1.7578513622283936","216","216","216"
"109000","2.2128796577453613","2.2128796577453613","2.2128796577453613","217","217","217"
"109500","1.919796347618103","1.919796347618103","1.919796347618103","218","218","218"
"110000","2.1214747428894043","2.1214747428894043","2.1214747428894043","219","219","219"
"110500","2.0300889015197754","2.0300889015197754","2.0300889015197754","220","220","220"
"111000","1.7775026559829712","1.7775026559829712","1.7775026559829712","221","221","221"
"111500","1.8212679624557495","1.8212679624557495","1.8212679624557495","222","222","222"
"112000","1.8064707517623901","1.8064707517623901","1.8064707517623901","223","223","223"
"112500","1.7311277389526367","1.7311277389526367","1.7311277389526367","224","224","224"
"113000","1.5823601484298706","1.5823601484298706","1.5823601484298706","225","225","225"
"113500","2.2024242877960205","2.2024242877960205","2.2024242877960205","226","226","226"
"114000","2.081334352493286","2.081334352493286","2.081334352493286","227","227","227"
"114500","2.1527023315429688","2.1527023315429688","2.1527023315429688","228","228","228"
"115000","1.821527123451233","1.821527123451233","1.821527123451233","229","229","229"
"115500","2.5420961380004883","2.5420961380004883","2.5420961380004883","230","230","230"
"116000","2.067755699157715","2.067755699157715","2.067755699157715","231","231","231"
"116500","2.0520949363708496","2.0520949363708496","2.0520949363708496","232","232","232"
"117000","1.9085484743118286","1.9085484743118286","1.9085484743118286","233","233","233"
"117500","2.013249635696411","2.013249635696411","2.013249635696411","234","234","234"
"118000","2.025041103363037","2.025041103363037","2.025041103363037","235","235","235"
"118500","1.7098537683486938","1.7098537683486938","1.7098537683486938","236","236","236"
"119000","2.139566421508789","2.139566421508789","2.139566421508789","237","237","237"
"119500","2.059974193572998","2.059974193572998","2.059974193572998","238","238","238"
"120000","2.009517192840576","2.009517192840576","2.009517192840576","239","239","239"
"120500","2.0519168376922607","2.0519168376922607","2.0519168376922607","240","240","240"
"121000","2.3012189865112305","2.3012189865112305","2.3012189865112305","241","241","241"
"121500","1.8874608278274536","1.8874608278274536","1.8874608278274536","242","242","242"
"122000","2.0956621170043945","2.0956621170043945","2.0956621170043945","243","243","243"
"122500","2.214085578918457","2.214085578918457","2.214085578918457","244","244","244"
"123000","1.9287605285644531","1.9287605285644531","1.9287605285644531","245","245","245"
"123500","1.9221832752227783","1.9221832752227783","1.9221832752227783","246","246","246"
"124000","1.3899505138397217","1.3899505138397217","1.3899505138397217","247","247","247"
"124500","2.1782147884368896","2.1782147884368896","2.1782147884368896","248","248","248"
"125000","1.7363847494125366","1.7363847494125366","1.7363847494125366","249","249","249"
"125500","1.3079941272735596","1.3079941272735596","1.3079941272735596","250","250","250"
"126000","1.9677824974060059","1.9677824974060059","1.9677824974060059","251","251","251"
"126500","2.1691477298736572","2.1691477298736572","2.1691477298736572","252","252","252"
"127000","1.9448165893554688","1.9448165893554688","1.9448165893554688","253","253","253"
"127500","1.988740086555481","1.988740086555481","1.988740086555481","254","254","254"
"128000","1.7638165950775146","1.7638165950775146","1.7638165950775146","255","255","255"
"128500","2.2596023082733154","2.2596023082733154","2.2596023082733154","256","256","256"
"129000","2.432647705078125","2.432647705078125","2.432647705078125","257","257","257"
"129500","1.8061052560806274","1.8061052560806274","1.8061052560806274","258","258","258"
"130000","1.8079127073287964","1.8079127073287964","1.8079127073287964","259","259","259"
"130500","2.1479973793029785","2.1479973793029785","2.1479973793029785","260","260","260"
"131000","2.252784490585327","2.252784490585327","2.252784490585327","261","261","261"
"131500","1.9467921257019043","1.9467921257019043","1.9467921257019043","262","262","262"
"132000","1.7421663999557495","1.7421663999557495","1.7421663999557495","263","263","263"
"132500","1.9342730045318604","1.9342730045318604","1.9342730045318604","264","264","264"
"133000","1.3975666761398315","1.3975666761398315","1.3975666761398315","265","265","265"
"133500","2.0229873657226562","2.0229873657226562","2.0229873657226562","266","266","266"
"134000","1.9627516269683838","1.9627516269683838","1.9627516269683838","267","267","267"
"134500","1.9794436693191528","1.9794436693191528","1.9794436693191528","268","268","268"
"135000","1.9893982410430908","1.9893982410430908","1.9893982410430908","269","269","269"
"135500","2.3158273696899414","2.3158273696899414","2.3158273696899414","270","270","270"
"136000","2.303231716156006","2.303231716156006","2.303231716156006","271","271","271"
"136500","1.6771056652069092","1.6771056652069092","1.6771056652069092","272","272","272"
"137000","2.031515598297119","2.031515598297119","2.031515598297119","273","273","273"
