"global_step","251221_A2C - train/value_loss","251221_A2C - train/value_loss__MIN","251221_A2C - train/value_loss__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","7.907365322113037","7.907365322113037","7.907365322113037","0","0","0"
"1000","0.7617851495742798","0.7617851495742798","0.7617851495742798","1","1","1"
"1500","0.3154359459877014","0.3154359459877014","0.3154359459877014","2","2","2"
"2000","0.5611643195152283","0.5611643195152283","0.5611643195152283","3","3","3"
"2500","7.012061595916748","7.012061595916748","7.012061595916748","4","4","4"
"3000","58.9329719543457","58.9329719543457","58.9329719543457","5","5","5"
"3500","0.0637153685092926","0.0637153685092926","0.0637153685092926","6","6","6"
"4000","8.545989036560059","8.545989036560059","8.545989036560059","7","7","7"
"4500","3.1795687675476074","3.1795687675476074","3.1795687675476074","8","8","8"
"5000","4.156795501708984","4.156795501708984","4.156795501708984","9","9","9"
"5500","11.815763473510742","11.815763473510742","11.815763473510742","10","10","10"
"6000","0.7207030653953552","0.7207030653953552","0.7207030653953552","11","11","11"
"6500","2.216426134109497","2.216426134109497","2.216426134109497","12","12","12"
"7000","0.018533779308199883","0.018533779308199883","0.018533779308199883","13","13","13"
"7500","7.047788143157959","7.047788143157959","7.047788143157959","14","14","14"
"8000","3.278432607650757","3.278432607650757","3.278432607650757","15","15","15"
"8500","0.49837490916252136","0.49837490916252136","0.49837490916252136","16","16","16"
"9000","2.588970184326172","2.588970184326172","2.588970184326172","17","17","17"
"9500","10.529433250427246","10.529433250427246","10.529433250427246","18","18","18"
"10000","0.6195783019065857","0.6195783019065857","0.6195783019065857","19","19","19"
"10500","0.7333568930625916","0.7333568930625916","0.7333568930625916","20","20","20"
"11000","0.8967642188072205","0.8967642188072205","0.8967642188072205","21","21","21"
"11500","0.6445907354354858","0.6445907354354858","0.6445907354354858","22","22","22"
"12000","1.6276806592941284","1.6276806592941284","1.6276806592941284","23","23","23"
"12500","20.35462760925293","20.35462760925293","20.35462760925293","24","24","24"
"13000","0.3047330379486084","0.3047330379486084","0.3047330379486084","25","25","25"
"13500","4.67627477645874","4.67627477645874","4.67627477645874","26","26","26"
"14000","14.843127250671387","14.843127250671387","14.843127250671387","27","27","27"
"14500","1.3390238285064697","1.3390238285064697","1.3390238285064697","28","28","28"
"15000","16.82840347290039","16.82840347290039","16.82840347290039","29","29","29"
"15500","7.91615629196167","7.91615629196167","7.91615629196167","30","30","30"
"16000","2.1216957569122314","2.1216957569122314","2.1216957569122314","31","31","31"
"16500","17.16075325012207","17.16075325012207","17.16075325012207","32","32","32"
"17000","0.818701446056366","0.818701446056366","0.818701446056366","33","33","33"
"17500","5.366659641265869","5.366659641265869","5.366659641265869","34","34","34"
"18000","16.148805618286133","16.148805618286133","16.148805618286133","35","35","35"
"18500","84.2361831665039","84.2361831665039","84.2361831665039","36","36","36"
"19000","5.140755653381348","5.140755653381348","5.140755653381348","37","37","37"
"19500","1.2437814474105835","1.2437814474105835","1.2437814474105835","38","38","38"
"20000","0.699680507183075","0.699680507183075","0.699680507183075","39","39","39"
"20500","0.42914095520973206","0.42914095520973206","0.42914095520973206","40","40","40"
"21000","2.9896812438964844","2.9896812438964844","2.9896812438964844","41","41","41"
"21500","1.403397560119629","1.403397560119629","1.403397560119629","42","42","42"
"22000","0.5287920832633972","0.5287920832633972","0.5287920832633972","43","43","43"
"22500","1.2103170156478882","1.2103170156478882","1.2103170156478882","44","44","44"
"23000","6.2232584953308105","6.2232584953308105","6.2232584953308105","45","45","45"
"23500","0.17613886296749115","0.17613886296749115","0.17613886296749115","46","46","46"
"24000","21.750125885009766","21.750125885009766","21.750125885009766","47","47","47"
"24500","0.03366164118051529","0.03366164118051529","0.03366164118051529","48","48","48"
"25000","4.141414165496826","4.141414165496826","4.141414165496826","49","49","49"
"25500","1.5753908157348633","1.5753908157348633","1.5753908157348633","50","50","50"
"26000","8.432843208312988","8.432843208312988","8.432843208312988","51","51","51"
"26500","13.408845901489258","13.408845901489258","13.408845901489258","52","52","52"
"27000","1.02621328830719","1.02621328830719","1.02621328830719","53","53","53"
"27500","43.382850646972656","43.382850646972656","43.382850646972656","54","54","54"
"28000","58.62896728515625","58.62896728515625","58.62896728515625","55","55","55"
"28500","7.619357585906982","7.619357585906982","7.619357585906982","56","56","56"
"29000","0.2893393933773041","0.2893393933773041","0.2893393933773041","57","57","57"
"29500","21.43348503112793","21.43348503112793","21.43348503112793","58","58","58"
"30000","5.980770587921143","5.980770587921143","5.980770587921143","59","59","59"
"30500","1.4703142642974854","1.4703142642974854","1.4703142642974854","60","60","60"
"31000","53.67338943481445","53.67338943481445","53.67338943481445","61","61","61"
"31500","3.2954537868499756","3.2954537868499756","3.2954537868499756","62","62","62"
"32000","14.540240287780762","14.540240287780762","14.540240287780762","63","63","63"
