"global_step","251213_useLessPoint - train/value_loss","251213_useLessPoint - train/value_loss__MIN","251213_useLessPoint - train/value_loss__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"128000","10.3452730178833","10.3452730178833","10.3452730178833","63","63","63"
"130000","14.639081954956055","14.639081954956055","14.639081954956055","64","64","64"
"132000","17.56033706665039","17.56033706665039","17.56033706665039","65","65","65"
"134000","15.678669929504395","15.678669929504395","15.678669929504395","66","66","66"
"136000","13.457374572753906","13.457374572753906","13.457374572753906","67","67","67"
"138000","12.081725120544434","12.081725120544434","12.081725120544434","68","68","68"
"140000","14.30154800415039","14.30154800415039","14.30154800415039","69","69","69"
"142000","18.46319580078125","18.46319580078125","18.46319580078125","70","70","70"
"144000","11.422216415405273","11.422216415405273","11.422216415405273","71","71","71"
"146000","12.722909927368164","12.722909927368164","12.722909927368164","72","72","72"
"148000","11.53758716583252","11.53758716583252","11.53758716583252","73","73","73"
"150000","9.305389404296875","9.305389404296875","9.305389404296875","74","74","74"
"152000","18.965015411376953","18.965015411376953","18.965015411376953","75","75","75"
"154000","10.823447227478027","10.823447227478027","10.823447227478027","76","76","76"
"156000","12.534189224243164","12.534189224243164","12.534189224243164","77","77","77"
"158000","9.640008926391602","9.640008926391602","9.640008926391602","78","78","78"
"160000","10.326656341552734","10.326656341552734","10.326656341552734","79","79","79"
"162000","9.417129516601562","9.417129516601562","9.417129516601562","80","80","80"
"164000","7.354474067687988","7.354474067687988","7.354474067687988","81","81","81"
"166000","5.165211200714111","5.165211200714111","5.165211200714111","82","82","82"
"168000","5.795543193817139","5.795543193817139","5.795543193817139","83","83","83"
"170000","7.82478666305542","7.82478666305542","7.82478666305542","84","84","84"
"172000","6.390689373016357","6.390689373016357","6.390689373016357","85","85","85"
"174000","10.524435043334961","10.524435043334961","10.524435043334961","86","86","86"
"176000","5.720670700073242","5.720670700073242","5.720670700073242","87","87","87"
