"global_step","251213_useLessPoint - train/final_neg_count","251213_useLessPoint - train/final_neg_count__MIN","251213_useLessPoint - train/final_neg_count__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"364000","12","12","12","181","181","181"
"366000","8","8","8","182","182","182"
"368000","8","8","8","183","183","183"
"370000","9","9","9","184","184","184"
"372000","8","8","8","185","185","185"
"374000","13","13","13","186","186","186"
"376000","7","7","7","187","187","187"
"378000","11","11","11","188","188","188"
"380000","6","6","6","189","189","189"
"382000","10","10","10","190","190","190"
"384000","6","6","6","191","191","191"
"386000","10","10","10","192","192","192"
"388000","5","5","5","193","193","193"
"390000","7","7","7","194","194","194"
"392000","7","7","7","195","195","195"
"394000","3","3","3","196","196","196"
"396000","11","11","11","197","197","197"
"398000","4","4","4","198","198","198"
"400000","13","13","13","199","199","199"
"402000","7","7","7","200","200","200"
"404000","7","7","7","201","201","201"
"406000","7","7","7","202","202","202"
"408000","13","13","13","203","203","203"
"410000","6","6","6","204","204","204"
"412000","6","6","6","205","205","205"
"414000","6","6","6","206","206","206"
"416000","12","12","12","207","207","207"
"418000","14","14","14","208","208","208"
"420000","13","13","13","209","209","209"
"422000","4","4","4","210","210","210"
"424000","7","7","7","211","211","211"
"426000","3","3","3","212","212","212"
"428000","13","13","13","213","213","213"
"430000","12","12","12","214","214","214"
"432000","5","5","5","215","215","215"
"434000","13","13","13","216","216","216"
"436000","4","4","4","217","217","217"
"438000","8","8","8","218","218","218"
"440000","9","9","9","219","219","219"
"442000","6","6","6","220","220","220"
"444000","4","4","4","221","221","221"
"446000","5","5","5","222","222","222"
"448000","8","8","8","223","223","223"
"450000","9","9","9","224","224","224"
"452000","8","8","8","225","225","225"
"454000","7","7","7","226","226","226"
"456000","9","9","9","227","227","227"
"458000","5","5","5","228","228","228"
"460000","5","5","5","229","229","229"
"462000","6","6","6","230","230","230"
"464000","8","8","8","231","231","231"
"466000","9","9","9","232","232","232"
"468000","6","6","6","233","233","233"
"470000","12","12","12","234","234","234"
"472000","9","9","9","235","235","235"
"474000","10","10","10","236","236","236"
"476000","14","14","14","237","237","237"
"478000","6","6","6","238","238","238"
"480000","9","9","9","239","239","239"
"482000","12","12","12","240","240","240"
"484000","14","14","14","241","241","241"
"486000","10","10","10","242","242","242"
"488000","9","9","9","243","243","243"
"490000","12","12","12","244","244","244"
"492000","6","6","6","245","245","245"
"494000","7","7","7","246","246","246"
"496000","7","7","7","247","247","247"
"498000","8","8","8","248","248","248"
"500000","6","6","6","249","249","249"
"502000","3","3","3","250","250","250"
"504000","12","12","12","251","251","251"
"506000","11","11","11","252","252","252"
"508000","6","6","6","253","253","253"
"510000","5","5","5","254","254","254"
"512000","8","8","8","255","255","255"
"514000","5","5","5","256","256","256"
"516000","6","6","6","257","257","257"
"518000","3","3","3","258","258","258"
"520000","6","6","6","259","259","259"
"522000","9","9","9","260","260","260"
"524000","4","4","4","261","261","261"
"526000","5","5","5","262","262","262"
"528000","13","13","13","263","263","263"
"530000","7","7","7","264","264","264"
"532000","3","3","3","265","265","265"
"534000","7","7","7","266","266","266"
"536000","6","6","6","267","267","267"
"538000","6","6","6","268","268","268"
"540000","9","9","9","269","269","269"
"542000","8","8","8","270","270","270"
"544000","7","7","7","271","271","271"
"546000","10","10","10","272","272","272"
"548000","5","5","5","273","273","273"
"550000","4","4","4","274","274","274"
"552000","5","5","5","275","275","275"
"554000","7","7","7","276","276","276"
"556000","4","4","4","277","277","277"
"558000","5","5","5","278","278","278"
"560000","4","4","4","279","279","279"
"562000","3","3","3","280","280","280"
"564000","3","3","3","281","281","281"
"566000","3","3","3","282","282","282"
"568000","5","5","5","283","283","283"
"570000","5","5","5","284","284","284"
"572000","3","3","3","285","285","285"
"574000","7","7","7","286","286","286"
"576000","5","5","5","287","287","287"
"578000","5","5","5","288","288","288"
"580000","4","4","4","289","289","289"
"582000","5","5","5","290","290","290"
"584000","4","4","4","291","291","291"
