"global_step","251213_useLessPoint - train/final_episode_iou","251213_useLessPoint - train/final_episode_iou__MIN","251213_useLessPoint - train/final_episode_iou__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"258000","0.26073309779167175","0.26073309779167175","0.26073309779167175","128","128","128"
"260000","0.38471201062202454","0.38471201062202454","0.38471201062202454","129","129","129"
"262000","0.25940752029418945","0.25940752029418945","0.25940752029418945","130","130","130"
"264000","0.3581840395927429","0.3581840395927429","0.3581840395927429","131","131","131"
"266000","0.37843573093414307","0.37843573093414307","0.37843573093414307","132","132","132"
"268000","0.2741560637950897","0.2741560637950897","0.2741560637950897","133","133","133"
"270000","0.09579941630363464","0.09579941630363464","0.09579941630363464","134","134","134"
"272000","0.3885592520236969","0.3885592520236969","0.3885592520236969","135","135","135"
"274000","0.40376222133636475","0.40376222133636475","0.40376222133636475","136","136","136"
"276000","0.38843193650245667","0.38843193650245667","0.38843193650245667","137","137","137"
"278000","0.2750990092754364","0.2750990092754364","0.2750990092754364","138","138","138"
"280000","0.41478705406188965","0.41478705406188965","0.41478705406188965","139","139","139"
"282000","0.2133733332157135","0.2133733332157135","0.2133733332157135","140","140","140"
"284000","0.41629722714424133","0.41629722714424133","0.41629722714424133","141","141","141"
"286000","0.11060473322868347","0.11060473322868347","0.11060473322868347","142","142","142"
"288000","0.4646148383617401","0.4646148383617401","0.4646148383617401","143","143","143"
"290000","0.3025190234184265","0.3025190234184265","0.3025190234184265","144","144","144"
"292000","0.3741579055786133","0.3741579055786133","0.3741579055786133","145","145","145"
"294000","0.28936246037483215","0.28936246037483215","0.28936246037483215","146","146","146"
"296000","0.5096763372421265","0.5096763372421265","0.5096763372421265","147","147","147"
"298000","0.36450502276420593","0.36450502276420593","0.36450502276420593","148","148","148"
"300000","0.14231517910957336","0.14231517910957336","0.14231517910957336","149","149","149"
"302000","0.2816808819770813","0.2816808819770813","0.2816808819770813","150","150","150"
"304000","0.4645463228225708","0.4645463228225708","0.4645463228225708","151","151","151"
"306000","0.44885411858558655","0.44885411858558655","0.44885411858558655","152","152","152"
"308000","0.30119121074676514","0.30119121074676514","0.30119121074676514","153","153","153"
"310000","0.1789565235376358","0.1789565235376358","0.1789565235376358","154","154","154"
"312000","0.3238801956176758","0.3238801956176758","0.3238801956176758","155","155","155"
"314000","0.30152377486228943","0.30152377486228943","0.30152377486228943","156","156","156"
"316000","0.4015592038631439","0.4015592038631439","0.4015592038631439","157","157","157"
"318000","0.432369589805603","0.432369589805603","0.432369589805603","158","158","158"
"320000","0.21559104323387146","0.21559104323387146","0.21559104323387146","159","159","159"
"322000","0.2932864725589752","0.2932864725589752","0.2932864725589752","160","160","160"
"324000","0.2766600549221039","0.2766600549221039","0.2766600549221039","161","161","161"
"326000","0.4306337237358093","0.4306337237358093","0.4306337237358093","162","162","162"
"328000","0.3175008296966553","0.3175008296966553","0.3175008296966553","163","163","163"
"330000","0.43107181787490845","0.43107181787490845","0.43107181787490845","164","164","164"
"332000","0.2647152543067932","0.2647152543067932","0.2647152543067932","165","165","165"
"334000","0.36835092306137085","0.36835092306137085","0.36835092306137085","166","166","166"
"336000","0.3292642831802368","0.3292642831802368","0.3292642831802368","167","167","167"
"338000","0.3375250995159149","0.3375250995159149","0.3375250995159149","168","168","168"
"340000","0.3028920292854309","0.3028920292854309","0.3028920292854309","169","169","169"
"342000","0.22758805751800537","0.22758805751800537","0.22758805751800537","170","170","170"
"344000","0.46382007002830505","0.46382007002830505","0.46382007002830505","171","171","171"
"346000","0.4164986312389374","0.4164986312389374","0.4164986312389374","172","172","172"
"348000","0.37398526072502136","0.37398526072502136","0.37398526072502136","173","173","173"
"350000","0.25147074460983276","0.25147074460983276","0.25147074460983276","174","174","174"
"352000","0.4041539132595062","0.4041539132595062","0.4041539132595062","175","175","175"
"354000","0.4249868392944336","0.4249868392944336","0.4249868392944336","176","176","176"
"356000","0.3480217158794403","0.3480217158794403","0.3480217158794403","177","177","177"
"358000","0.32513535022735596","0.32513535022735596","0.32513535022735596","178","178","178"
"360000","0.32772165536880493","0.32772165536880493","0.32772165536880493","179","179","179"
"362000","0.3619684875011444","0.3619684875011444","0.3619684875011444","180","180","180"
"364000","0.226627379655838","0.226627379655838","0.226627379655838","181","181","181"
"366000","0.20543280243873596","0.20543280243873596","0.20543280243873596","182","182","182"
"368000","0.40680548548698425","0.40680548548698425","0.40680548548698425","183","183","183"
"370000","0.3404301702976227","0.3404301702976227","0.3404301702976227","184","184","184"
"372000","0.4050655961036682","0.4050655961036682","0.4050655961036682","185","185","185"
"374000","0.27502545714378357","0.27502545714378357","0.27502545714378357","186","186","186"
"376000","0.29341480135917664","0.29341480135917664","0.29341480135917664","187","187","187"
"378000","0.35279613733291626","0.35279613733291626","0.35279613733291626","188","188","188"
