"global_step","251213_useLessPoint - train/final_feat_cross","251213_useLessPoint - train/final_feat_cross__MIN","251213_useLessPoint - train/final_feat_cross__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"116000","1.971287727355957","1.971287727355957","1.971287727355957","57","57","57"
"118000","2.244133472442627","2.244133472442627","2.244133472442627","58","58","58"
"120000","2.182008743286133","2.182008743286133","2.182008743286133","59","59","59"
"122000","1.9758087396621704","1.9758087396621704","1.9758087396621704","60","60","60"
"124000","2.0047731399536133","2.0047731399536133","2.0047731399536133","61","61","61"
"126000","2.2868216037750244","2.2868216037750244","2.2868216037750244","62","62","62"
"128000","2.02059006690979","2.02059006690979","2.02059006690979","63","63","63"
"130000","1.8938822746276855","1.8938822746276855","1.8938822746276855","64","64","64"
"132000","1.981539011001587","1.981539011001587","1.981539011001587","65","65","65"
"134000","1.9462577104568481","1.9462577104568481","1.9462577104568481","66","66","66"
"136000","1.7996442317962646","1.7996442317962646","1.7996442317962646","67","67","67"
"138000","1.7261059284210205","1.7261059284210205","1.7261059284210205","68","68","68"
"140000","1.9925776720046997","1.9925776720046997","1.9925776720046997","69","69","69"
"142000","2.17244029045105","2.17244029045105","2.17244029045105","70","70","70"
"144000","1.9837749004364014","1.9837749004364014","1.9837749004364014","71","71","71"
"146000","2.1894187927246094","2.1894187927246094","2.1894187927246094","72","72","72"
"148000","2.079806327819824","2.079806327819824","2.079806327819824","73","73","73"
"150000","2.2146990299224854","2.2146990299224854","2.2146990299224854","74","74","74"
"152000","2.076073169708252","2.076073169708252","2.076073169708252","75","75","75"
"154000","1.9842896461486816","1.9842896461486816","1.9842896461486816","76","76","76"
"156000","1.631268858909607","1.631268858909607","1.631268858909607","77","77","77"
"158000","2.289309501647949","2.289309501647949","2.289309501647949","78","78","78"
"160000","2.135767698287964","2.135767698287964","2.135767698287964","79","79","79"
"162000","1.7496548891067505","1.7496548891067505","1.7496548891067505","80","80","80"
"164000","1.8607450723648071","1.8607450723648071","1.8607450723648071","81","81","81"
"166000","1.9777584075927734","1.9777584075927734","1.9777584075927734","82","82","82"
"168000","2.034552812576294","2.034552812576294","2.034552812576294","83","83","83"
"170000","1.8788731098175049","1.8788731098175049","1.8788731098175049","84","84","84"
"172000","1.8921784162521362","1.8921784162521362","1.8921784162521362","85","85","85"
"174000","2.020416736602783","2.020416736602783","2.020416736602783","86","86","86"
"176000","1.946571946144104","1.946571946144104","1.946571946144104","87","87","87"
"178000","1.969286561012268","1.969286561012268","1.969286561012268","88","88","88"
"180000","1.9150378704071045","1.9150378704071045","1.9150378704071045","89","89","89"
"182000","1.977288007736206","1.977288007736206","1.977288007736206","90","90","90"
"184000","2.008021354675293","2.008021354675293","2.008021354675293","91","91","91"
"186000","1.7480261325836182","1.7480261325836182","1.7480261325836182","92","92","92"
"188000","1.8975387811660767","1.8975387811660767","1.8975387811660767","93","93","93"
"190000","2.0776634216308594","2.0776634216308594","2.0776634216308594","94","94","94"
"192000","1.970623254776001","1.970623254776001","1.970623254776001","95","95","95"
"194000","2.08600115776062","2.08600115776062","2.08600115776062","96","96","96"
"196000","1.719808578491211","1.719808578491211","1.719808578491211","97","97","97"
"198000","2.1930432319641113","2.1930432319641113","2.1930432319641113","98","98","98"
"200000","2.060655355453491","2.060655355453491","2.060655355453491","99","99","99"
"202000","2.049562931060791","2.049562931060791","2.049562931060791","100","100","100"
"204000","1.851284384727478","1.851284384727478","1.851284384727478","101","101","101"
"206000","2.062930107116699","2.062930107116699","2.062930107116699","102","102","102"
"208000","2.1062614917755127","2.1062614917755127","2.1062614917755127","103","103","103"
"210000","1.935014247894287","1.935014247894287","1.935014247894287","104","104","104"
"212000","2.0084357261657715","2.0084357261657715","2.0084357261657715","105","105","105"
"214000","1.9152934551239014","1.9152934551239014","1.9152934551239014","106","106","106"
"216000","2.1565663814544678","2.1565663814544678","2.1565663814544678","107","107","107"
"218000","1.9059778451919556","1.9059778451919556","1.9059778451919556","108","108","108"
"220000","2.2978901863098145","2.2978901863098145","2.2978901863098145","109","109","109"
"222000","2.10860276222229","2.10860276222229","2.10860276222229","110","110","110"
"224000","2.010866165161133","2.010866165161133","2.010866165161133","111","111","111"
"226000","1.79158353805542","1.79158353805542","1.79158353805542","112","112","112"
"228000","1.8082027435302734","1.8082027435302734","1.8082027435302734","113","113","113"
"230000","1.3680460453033447","1.3680460453033447","1.3680460453033447","114","114","114"
"232000","2.0655617713928223","2.0655617713928223","2.0655617713928223","115","115","115"
"234000","2.2416141033172607","2.2416141033172607","2.2416141033172607","116","116","116"
"236000","2.022160768508911","2.022160768508911","2.022160768508911","117","117","117"
"238000","1.8453878164291382","1.8453878164291382","1.8453878164291382","118","118","118"
"240000","2.010080575942993","2.010080575942993","2.010080575942993","119","119","119"
"242000","2.3019142150878906","2.3019142150878906","2.3019142150878906","120","120","120"
"244000","2.1295394897460938","2.1295394897460938","2.1295394897460938","121","121","121"
"246000","2.1449146270751953","2.1449146270751953","2.1449146270751953","122","122","122"
"248000","1.9707682132720947","1.9707682132720947","1.9707682132720947","123","123","123"
"250000","1.9982770681381226","1.9982770681381226","1.9982770681381226","124","124","124"
"252000","2.2998626232147217","2.2998626232147217","2.2998626232147217","125","125","125"
"254000","1.9546031951904297","1.9546031951904297","1.9546031951904297","126","126","126"
"256000","1.9505149126052856","1.9505149126052856","1.9505149126052856","127","127","127"
"258000","1.9479368925094604","1.9479368925094604","1.9479368925094604","128","128","128"
"260000","2.386439561843872","2.386439561843872","2.386439561843872","129","129","129"
"262000","1.9687583446502686","1.9687583446502686","1.9687583446502686","130","130","130"
"264000","1.9266163110733032","1.9266163110733032","1.9266163110733032","131","131","131"
"266000","1.7768586874008179","1.7768586874008179","1.7768586874008179","132","132","132"
"268000","1.6041045188903809","1.6041045188903809","1.6041045188903809","133","133","133"
"270000","1.9490296840667725","1.9490296840667725","1.9490296840667725","134","134","134"
"272000","1.8219400644302368","1.8219400644302368","1.8219400644302368","135","135","135"
"274000","2.0382206439971924","2.0382206439971924","2.0382206439971924","136","136","136"
"276000","1.9004617929458618","1.9004617929458618","1.9004617929458618","137","137","137"
"278000","2.2429165840148926","2.2429165840148926","2.2429165840148926","138","138","138"
"280000","1.8971315622329712","1.8971315622329712","1.8971315622329712","139","139","139"
"282000","1.8756883144378662","1.8756883144378662","1.8756883144378662","140","140","140"
"284000","1.8178365230560303","1.8178365230560303","1.8178365230560303","141","141","141"
"286000","2.28495717048645","2.28495717048645","2.28495717048645","142","142","142"
"288000","2.0181491374969482","2.0181491374969482","2.0181491374969482","143","143","143"
"290000","2.122140645980835","2.122140645980835","2.122140645980835","144","144","144"
"292000","2.019346237182617","2.019346237182617","2.019346237182617","145","145","145"
"294000","1.9868391752243042","1.9868391752243042","1.9868391752243042","146","146","146"
"296000","2.2289066314697266","2.2289066314697266","2.2289066314697266","147","147","147"
"298000","2.4247632026672363","2.4247632026672363","2.4247632026672363","148","148","148"
"300000","2.082108974456787","2.082108974456787","2.082108974456787","149","149","149"
"302000","2.587852954864502","2.587852954864502","2.587852954864502","150","150","150"
"304000","2.157987117767334","2.157987117767334","2.157987117767334","151","151","151"
"306000","1.6779274940490723","1.6779274940490723","1.6779274940490723","152","152","152"
"308000","1.8162742853164673","1.8162742853164673","1.8162742853164673","153","153","153"
"310000","1.914257526397705","1.914257526397705","1.914257526397705","154","154","154"
"312000","2.1727921962738037","2.1727921962738037","2.1727921962738037","155","155","155"
"314000","2.0761916637420654","2.0761916637420654","2.0761916637420654","156","156","156"
"316000","2.0667173862457275","2.0667173862457275","2.0667173862457275","157","157","157"
"318000","2.4327504634857178","2.4327504634857178","2.4327504634857178","158","158","158"
"320000","2.260897159576416","2.260897159576416","2.260897159576416","159","159","159"
"322000","2.152602434158325","2.152602434158325","2.152602434158325","160","160","160"
"324000","2.027738571166992","2.027738571166992","2.027738571166992","161","161","161"
"326000","2.2899060249328613","2.2899060249328613","2.2899060249328613","162","162","162"
"328000","1.8157535791397095","1.8157535791397095","1.8157535791397095","163","163","163"
"330000","2.482177972793579","2.482177972793579","2.482177972793579","164","164","164"
"332000","2.24712872505188","2.24712872505188","2.24712872505188","165","165","165"
"334000","1.836565613746643","1.836565613746643","1.836565613746643","166","166","166"
"336000","2.2506208419799805","2.2506208419799805","2.2506208419799805","167","167","167"
"338000","2.1939103603363037","2.1939103603363037","2.1939103603363037","168","168","168"
"340000","2.0460097789764404","2.0460097789764404","2.0460097789764404","169","169","169"
"342000","2.0716636180877686","2.0716636180877686","2.0716636180877686","170","170","170"
"344000","2.1782214641571045","2.1782214641571045","2.1782214641571045","171","171","171"
"346000","1.9464744329452515","1.9464744329452515","1.9464744329452515","172","172","172"
"348000","1.8879402875900269","1.8879402875900269","1.8879402875900269","173","173","173"
"350000","2.0908567905426025","2.0908567905426025","2.0908567905426025","174","174","174"
"352000","2.1522715091705322","2.1522715091705322","2.1522715091705322","175","175","175"
"354000","1.9323030710220337","1.9323030710220337","1.9323030710220337","176","176","176"
"356000","2.1126062870025635","2.1126062870025635","2.1126062870025635","177","177","177"
"358000","2.1876139640808105","2.1876139640808105","2.1876139640808105","178","178","178"
"360000","2.0386319160461426","2.0386319160461426","2.0386319160461426","179","179","179"
"362000","1.9736422300338745","1.9736422300338745","1.9736422300338745","180","180","180"
"364000","1.3487155437469482","1.3487155437469482","1.3487155437469482","181","181","181"
"366000","1.9014792442321777","1.9014792442321777","1.9014792442321777","182","182","182"
"368000","1.6319478750228882","1.6319478750228882","1.6319478750228882","183","183","183"
"370000","1.9287575483322144","1.9287575483322144","1.9287575483322144","184","184","184"
"372000","2.1430792808532715","2.1430792808532715","2.1430792808532715","185","185","185"
"374000","2.184610366821289","2.184610366821289","2.184610366821289","186","186","186"
"376000","1.9836647510528564","1.9836647510528564","1.9836647510528564","187","187","187"
"378000","1.469315767288208","1.469315767288208","1.469315767288208","188","188","188"
"380000","1.8580273389816284","1.8580273389816284","1.8580273389816284","189","189","189"
"382000","2.2786941528320312","2.2786941528320312","2.2786941528320312","190","190","190"
"384000","1.8340609073638916","1.8340609073638916","1.8340609073638916","191","191","191"
"386000","2.2014641761779785","2.2014641761779785","2.2014641761779785","192","192","192"
"388000","1.9392741918563843","1.9392741918563843","1.9392741918563843","193","193","193"
"390000","1.827711582183838","1.827711582183838","1.827711582183838","194","194","194"
"392000","2.0701096057891846","2.0701096057891846","2.0701096057891846","195","195","195"
"394000","1.7075508832931519","1.7075508832931519","1.7075508832931519","196","196","196"
"396000","2.264272451400757","2.264272451400757","2.264272451400757","197","197","197"
"398000","1.8396971225738525","1.8396971225738525","1.8396971225738525","198","198","198"
"400000","2.1442506313323975","2.1442506313323975","2.1442506313323975","199","199","199"
"402000","1.7943644523620605","1.7943644523620605","1.7943644523620605","200","200","200"
"404000","1.9106892347335815","1.9106892347335815","1.9106892347335815","201","201","201"
"406000","2.160010814666748","2.160010814666748","2.160010814666748","202","202","202"
"408000","2.1537818908691406","2.1537818908691406","2.1537818908691406","203","203","203"
"410000","2.0565245151519775","2.0565245151519775","2.0565245151519775","204","204","204"
"412000","1.9599350690841675","1.9599350690841675","1.9599350690841675","205","205","205"
"414000","2.269745349884033","2.269745349884033","2.269745349884033","206","206","206"
"416000","2.2778477668762207","2.2778477668762207","2.2778477668762207","207","207","207"
"418000","1.6249030828475952","1.6249030828475952","1.6249030828475952","208","208","208"
"420000","1.789067268371582","1.789067268371582","1.789067268371582","209","209","209"
"422000","1.781062126159668","1.781062126159668","1.781062126159668","210","210","210"
"424000","1.7258764505386353","1.7258764505386353","1.7258764505386353","211","211","211"
"426000","1.8825963735580444","1.8825963735580444","1.8825963735580444","212","212","212"
"428000","2.1112403869628906","2.1112403869628906","2.1112403869628906","213","213","213"
"430000","2.2453644275665283","2.2453644275665283","2.2453644275665283","214","214","214"
"432000","1.941308856010437","1.941308856010437","1.941308856010437","215","215","215"
"434000","2.0993638038635254","2.0993638038635254","2.0993638038635254","216","216","216"
"436000","1.9373295307159424","1.9373295307159424","1.9373295307159424","217","217","217"
"438000","1.9572949409484863","1.9572949409484863","1.9572949409484863","218","218","218"
"440000","2.34928822517395","2.34928822517395","2.34928822517395","219","219","219"
"442000","2.0654165744781494","2.0654165744781494","2.0654165744781494","220","220","220"
"444000","1.877708911895752","1.877708911895752","1.877708911895752","221","221","221"
"446000","1.915898084640503","1.915898084640503","1.915898084640503","222","222","222"
"448000","2.3246095180511475","2.3246095180511475","2.3246095180511475","223","223","223"
"450000","2.127824544906616","2.127824544906616","2.127824544906616","224","224","224"
"452000","2.151110887527466","2.151110887527466","2.151110887527466","225","225","225"
"454000","1.8346492052078247","1.8346492052078247","1.8346492052078247","226","226","226"
"456000","1.7194780111312866","1.7194780111312866","1.7194780111312866","227","227","227"
"458000","1.6046907901763916","1.6046907901763916","1.6046907901763916","228","228","228"
"460000","1.4031479358673096","1.4031479358673096","1.4031479358673096","229","229","229"
"462000","2.2595841884613037","2.2595841884613037","2.2595841884613037","230","230","230"
"464000","2.012096881866455","2.012096881866455","2.012096881866455","231","231","231"
"466000","2.05117130279541","2.05117130279541","2.05117130279541","232","232","232"
"468000","2.1377689838409424","2.1377689838409424","2.1377689838409424","233","233","233"
"470000","2.221102476119995","2.221102476119995","2.221102476119995","234","234","234"
"472000","1.8038135766983032","1.8038135766983032","1.8038135766983032","235","235","235"
"474000","2.142840623855591","2.142840623855591","2.142840623855591","236","236","236"
"476000","2.361340045928955","2.361340045928955","2.361340045928955","237","237","237"
"478000","1.9225685596466064","1.9225685596466064","1.9225685596466064","238","238","238"
"480000","1.9942907094955444","1.9942907094955444","1.9942907094955444","239","239","239"
"482000","2.1089000701904297","2.1089000701904297","2.1089000701904297","240","240","240"
"484000","1.8988938331604004","1.8988938331604004","1.8988938331604004","241","241","241"
"486000","2.0644965171813965","2.0644965171813965","2.0644965171813965","242","242","242"
"488000","2.0716307163238525","2.0716307163238525","2.0716307163238525","243","243","243"
"490000","2.157289981842041","2.157289981842041","2.157289981842041","244","244","244"
"492000","2.1359176635742188","2.1359176635742188","2.1359176635742188","245","245","245"
"494000","1.6041768789291382","1.6041768789291382","1.6041768789291382","246","246","246"
"496000","1.944952368736267","1.944952368736267","1.944952368736267","247","247","247"
"498000","2.086153507232666","2.086153507232666","2.086153507232666","248","248","248"
"500000","1.9668159484863281","1.9668159484863281","1.9668159484863281","249","249","249"
"502000","1.9895637035369873","1.9895637035369873","1.9895637035369873","250","250","250"
"504000","1.9845589399337769","1.9845589399337769","1.9845589399337769","251","251","251"
"506000","2.0535776615142822","2.0535776615142822","2.0535776615142822","252","252","252"
"508000","2.1045563220977783","2.1045563220977783","2.1045563220977783","253","253","253"
"510000","2.2625555992126465","2.2625555992126465","2.2625555992126465","254","254","254"
"512000","1.8292829990386963","1.8292829990386963","1.8292829990386963","255","255","255"
"514000","1.6226812601089478","1.6226812601089478","1.6226812601089478","256","256","256"
"516000","1.6685066223144531","1.6685066223144531","1.6685066223144531","257","257","257"
"518000","2.1117866039276123","2.1117866039276123","2.1117866039276123","258","258","258"
"520000","2.006985902786255","2.006985902786255","2.006985902786255","259","259","259"
"522000","2.1748225688934326","2.1748225688934326","2.1748225688934326","260","260","260"
"524000","2.005743980407715","2.005743980407715","2.005743980407715","261","261","261"
"526000","1.9397883415222168","1.9397883415222168","1.9397883415222168","262","262","262"
"528000","1.9145567417144775","1.9145567417144775","1.9145567417144775","263","263","263"
"530000","1.4844657182693481","1.4844657182693481","1.4844657182693481","264","264","264"
"532000","2.2223448753356934","2.2223448753356934","2.2223448753356934","265","265","265"
"534000","1.959090232849121","1.959090232849121","1.959090232849121","266","266","266"
"536000","1.8812065124511719","1.8812065124511719","1.8812065124511719","267","267","267"
"538000","1.878076195716858","1.878076195716858","1.878076195716858","268","268","268"
"540000","2.156973361968994","2.156973361968994","2.156973361968994","269","269","269"
"542000","1.7823891639709473","1.7823891639709473","1.7823891639709473","270","270","270"
"544000","1.8360569477081299","1.8360569477081299","1.8360569477081299","271","271","271"
"546000","2.2613391876220703","2.2613391876220703","2.2613391876220703","272","272","272"
"548000","2.213994026184082","2.213994026184082","2.213994026184082","273","273","273"
"550000","1.8034801483154297","1.8034801483154297","1.8034801483154297","274","274","274"
"552000","1.5793066024780273","1.5793066024780273","1.5793066024780273","275","275","275"
"554000","2.0948288440704346","2.0948288440704346","2.0948288440704346","276","276","276"
"556000","2.093562602996826","2.093562602996826","2.093562602996826","277","277","277"
"558000","2.0173845291137695","2.0173845291137695","2.0173845291137695","278","278","278"
"560000","2.222313404083252","2.222313404083252","2.222313404083252","279","279","279"
"562000","1.6694618463516235","1.6694618463516235","1.6694618463516235","280","280","280"
"564000","2.1681666374206543","2.1681666374206543","2.1681666374206543","281","281","281"
"566000","2.3831303119659424","2.3831303119659424","2.3831303119659424","282","282","282"
"568000","1.9992470741271973","1.9992470741271973","1.9992470741271973","283","283","283"
"570000","1.8577946424484253","1.8577946424484253","1.8577946424484253","284","284","284"
"572000","2.025655508041382","2.025655508041382","2.025655508041382","285","285","285"
"574000","2.172605037689209","2.172605037689209","2.172605037689209","286","286","286"
"576000","1.9955129623413086","1.9955129623413086","1.9955129623413086","287","287","287"
"578000","2.1285648345947266","2.1285648345947266","2.1285648345947266","288","288","288"
