"global_step","251213_useLessPoint - train/clip_range","251213_useLessPoint - train/clip_range__MIN","251213_useLessPoint - train/clip_range__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","0.20000000298023224","0.20000000298023224","0.20000000298023224","1","1","1"
"6000","0.20000000298023224","0.20000000298023224","0.20000000298023224","2","2","2"
"8000","0.20000000298023224","0.20000000298023224","0.20000000298023224","3","3","3"
"10000","0.20000000298023224","0.20000000298023224","0.20000000298023224","4","4","4"
"12000","0.20000000298023224","0.20000000298023224","0.20000000298023224","5","5","5"
"14000","0.20000000298023224","0.20000000298023224","0.20000000298023224","6","6","6"
"16000","0.20000000298023224","0.20000000298023224","0.20000000298023224","7","7","7"
"18000","0.20000000298023224","0.20000000298023224","0.20000000298023224","8","8","8"
"20000","0.20000000298023224","0.20000000298023224","0.20000000298023224","9","9","9"
"22000","0.20000000298023224","0.20000000298023224","0.20000000298023224","10","10","10"
"24000","0.20000000298023224","0.20000000298023224","0.20000000298023224","11","11","11"
"26000","0.20000000298023224","0.20000000298023224","0.20000000298023224","12","12","12"
"28000","0.20000000298023224","0.20000000298023224","0.20000000298023224","13","13","13"
"30000","0.20000000298023224","0.20000000298023224","0.20000000298023224","14","14","14"
"32000","0.20000000298023224","0.20000000298023224","0.20000000298023224","15","15","15"
"34000","0.20000000298023224","0.20000000298023224","0.20000000298023224","16","16","16"
"36000","0.20000000298023224","0.20000000298023224","0.20000000298023224","17","17","17"
"38000","0.20000000298023224","0.20000000298023224","0.20000000298023224","18","18","18"
"40000","0.20000000298023224","0.20000000298023224","0.20000000298023224","19","19","19"
"42000","0.20000000298023224","0.20000000298023224","0.20000000298023224","20","20","20"
"44000","0.20000000298023224","0.20000000298023224","0.20000000298023224","21","21","21"
"46000","0.20000000298023224","0.20000000298023224","0.20000000298023224","22","22","22"
"48000","0.20000000298023224","0.20000000298023224","0.20000000298023224","23","23","23"
"50000","0.20000000298023224","0.20000000298023224","0.20000000298023224","24","24","24"
"52000","0.20000000298023224","0.20000000298023224","0.20000000298023224","25","25","25"
"54000","0.20000000298023224","0.20000000298023224","0.20000000298023224","26","26","26"
"56000","0.20000000298023224","0.20000000298023224","0.20000000298023224","27","27","27"
"58000","0.20000000298023224","0.20000000298023224","0.20000000298023224","28","28","28"
"60000","0.20000000298023224","0.20000000298023224","0.20000000298023224","29","29","29"
"62000","0.20000000298023224","0.20000000298023224","0.20000000298023224","30","30","30"
"64000","0.20000000298023224","0.20000000298023224","0.20000000298023224","31","31","31"
"66000","0.20000000298023224","0.20000000298023224","0.20000000298023224","32","32","32"
"68000","0.20000000298023224","0.20000000298023224","0.20000000298023224","33","33","33"
"70000","0.20000000298023224","0.20000000298023224","0.20000000298023224","34","34","34"
"72000","0.20000000298023224","0.20000000298023224","0.20000000298023224","35","35","35"
"74000","0.20000000298023224","0.20000000298023224","0.20000000298023224","36","36","36"
"76000","0.20000000298023224","0.20000000298023224","0.20000000298023224","37","37","37"
"78000","0.20000000298023224","0.20000000298023224","0.20000000298023224","38","38","38"
"80000","0.20000000298023224","0.20000000298023224","0.20000000298023224","39","39","39"
"82000","0.20000000298023224","0.20000000298023224","0.20000000298023224","40","40","40"
"84000","0.20000000298023224","0.20000000298023224","0.20000000298023224","41","41","41"
"86000","0.20000000298023224","0.20000000298023224","0.20000000298023224","42","42","42"
"88000","0.20000000298023224","0.20000000298023224","0.20000000298023224","43","43","43"
"90000","0.20000000298023224","0.20000000298023224","0.20000000298023224","44","44","44"
"92000","0.20000000298023224","0.20000000298023224","0.20000000298023224","45","45","45"
"94000","0.20000000298023224","0.20000000298023224","0.20000000298023224","46","46","46"
"96000","0.20000000298023224","0.20000000298023224","0.20000000298023224","47","47","47"
"98000","0.20000000298023224","0.20000000298023224","0.20000000298023224","48","48","48"
"100000","0.20000000298023224","0.20000000298023224","0.20000000298023224","49","49","49"
"102000","0.20000000298023224","0.20000000298023224","0.20000000298023224","50","50","50"
"104000","0.20000000298023224","0.20000000298023224","0.20000000298023224","51","51","51"
"106000","0.20000000298023224","0.20000000298023224","0.20000000298023224","52","52","52"
"108000","0.20000000298023224","0.20000000298023224","0.20000000298023224","53","53","53"
"110000","0.20000000298023224","0.20000000298023224","0.20000000298023224","54","54","54"
"112000","0.20000000298023224","0.20000000298023224","0.20000000298023224","55","55","55"
"114000","0.20000000298023224","0.20000000298023224","0.20000000298023224","56","56","56"
"116000","0.20000000298023224","0.20000000298023224","0.20000000298023224","57","57","57"
"118000","0.20000000298023224","0.20000000298023224","0.20000000298023224","58","58","58"
"120000","0.20000000298023224","0.20000000298023224","0.20000000298023224","59","59","59"
"122000","0.20000000298023224","0.20000000298023224","0.20000000298023224","60","60","60"
"124000","0.20000000298023224","0.20000000298023224","0.20000000298023224","61","61","61"
"126000","0.20000000298023224","0.20000000298023224","0.20000000298023224","62","62","62"
"128000","0.20000000298023224","0.20000000298023224","0.20000000298023224","63","63","63"
"130000","0.20000000298023224","0.20000000298023224","0.20000000298023224","64","64","64"
"132000","0.20000000298023224","0.20000000298023224","0.20000000298023224","65","65","65"
"134000","0.20000000298023224","0.20000000298023224","0.20000000298023224","66","66","66"
"136000","0.20000000298023224","0.20000000298023224","0.20000000298023224","67","67","67"
"138000","0.20000000298023224","0.20000000298023224","0.20000000298023224","68","68","68"
"140000","0.20000000298023224","0.20000000298023224","0.20000000298023224","69","69","69"
"142000","0.20000000298023224","0.20000000298023224","0.20000000298023224","70","70","70"
"144000","0.20000000298023224","0.20000000298023224","0.20000000298023224","71","71","71"
"146000","0.20000000298023224","0.20000000298023224","0.20000000298023224","72","72","72"
"148000","0.20000000298023224","0.20000000298023224","0.20000000298023224","73","73","73"
"150000","0.20000000298023224","0.20000000298023224","0.20000000298023224","74","74","74"
"152000","0.20000000298023224","0.20000000298023224","0.20000000298023224","75","75","75"
"154000","0.20000000298023224","0.20000000298023224","0.20000000298023224","76","76","76"
"156000","0.20000000298023224","0.20000000298023224","0.20000000298023224","77","77","77"
"158000","0.20000000298023224","0.20000000298023224","0.20000000298023224","78","78","78"
"160000","0.20000000298023224","0.20000000298023224","0.20000000298023224","79","79","79"
"162000","0.20000000298023224","0.20000000298023224","0.20000000298023224","80","80","80"
"164000","0.20000000298023224","0.20000000298023224","0.20000000298023224","81","81","81"
"166000","0.20000000298023224","0.20000000298023224","0.20000000298023224","82","82","82"
"168000","0.20000000298023224","0.20000000298023224","0.20000000298023224","83","83","83"
"170000","0.20000000298023224","0.20000000298023224","0.20000000298023224","84","84","84"
"172000","0.20000000298023224","0.20000000298023224","0.20000000298023224","85","85","85"
"174000","0.20000000298023224","0.20000000298023224","0.20000000298023224","86","86","86"
"176000","0.20000000298023224","0.20000000298023224","0.20000000298023224","87","87","87"
"178000","0.20000000298023224","0.20000000298023224","0.20000000298023224","88","88","88"
"180000","0.20000000298023224","0.20000000298023224","0.20000000298023224","89","89","89"
"182000","0.20000000298023224","0.20000000298023224","0.20000000298023224","90","90","90"
"184000","0.20000000298023224","0.20000000298023224","0.20000000298023224","91","91","91"
"186000","0.20000000298023224","0.20000000298023224","0.20000000298023224","92","92","92"
"188000","0.20000000298023224","0.20000000298023224","0.20000000298023224","93","93","93"
"190000","0.20000000298023224","0.20000000298023224","0.20000000298023224","94","94","94"
"192000","0.20000000298023224","0.20000000298023224","0.20000000298023224","95","95","95"
"194000","0.20000000298023224","0.20000000298023224","0.20000000298023224","96","96","96"
"196000","0.20000000298023224","0.20000000298023224","0.20000000298023224","97","97","97"
"198000","0.20000000298023224","0.20000000298023224","0.20000000298023224","98","98","98"
"200000","0.20000000298023224","0.20000000298023224","0.20000000298023224","99","99","99"
"202000","0.20000000298023224","0.20000000298023224","0.20000000298023224","100","100","100"
"204000","0.20000000298023224","0.20000000298023224","0.20000000298023224","101","101","101"
"206000","0.20000000298023224","0.20000000298023224","0.20000000298023224","102","102","102"
"208000","0.20000000298023224","0.20000000298023224","0.20000000298023224","103","103","103"
"210000","0.20000000298023224","0.20000000298023224","0.20000000298023224","104","104","104"
"212000","0.20000000298023224","0.20000000298023224","0.20000000298023224","105","105","105"
"214000","0.20000000298023224","0.20000000298023224","0.20000000298023224","106","106","106"
"216000","0.20000000298023224","0.20000000298023224","0.20000000298023224","107","107","107"
"218000","0.20000000298023224","0.20000000298023224","0.20000000298023224","108","108","108"
"220000","0.20000000298023224","0.20000000298023224","0.20000000298023224","109","109","109"
"222000","0.20000000298023224","0.20000000298023224","0.20000000298023224","110","110","110"
"224000","0.20000000298023224","0.20000000298023224","0.20000000298023224","111","111","111"
"226000","0.20000000298023224","0.20000000298023224","0.20000000298023224","112","112","112"
"228000","0.20000000298023224","0.20000000298023224","0.20000000298023224","113","113","113"
"230000","0.20000000298023224","0.20000000298023224","0.20000000298023224","114","114","114"
"232000","0.20000000298023224","0.20000000298023224","0.20000000298023224","115","115","115"
"234000","0.20000000298023224","0.20000000298023224","0.20000000298023224","116","116","116"
"236000","0.20000000298023224","0.20000000298023224","0.20000000298023224","117","117","117"
"238000","0.20000000298023224","0.20000000298023224","0.20000000298023224","118","118","118"
"240000","0.20000000298023224","0.20000000298023224","0.20000000298023224","119","119","119"
"242000","0.20000000298023224","0.20000000298023224","0.20000000298023224","120","120","120"
"244000","0.20000000298023224","0.20000000298023224","0.20000000298023224","121","121","121"
"246000","0.20000000298023224","0.20000000298023224","0.20000000298023224","122","122","122"
"248000","0.20000000298023224","0.20000000298023224","0.20000000298023224","123","123","123"
