"global_step","251213_useLessPoint - time/fps","251213_useLessPoint - time/fps__MIN","251213_useLessPoint - time/fps__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"366000","24","24","24","182","182","182"
"368000","24","24","24","183","183","183"
"370000","24","24","24","184","184","184"
"372000","24","24","24","185","185","185"
"374000","24","24","24","186","186","186"
"376000","24","24","24","187","187","187"
"378000","24","24","24","188","188","188"
"380000","24","24","24","189","189","189"
"382000","24","24","24","190","190","190"
"384000","24","24","24","191","191","191"
"386000","24","24","24","192","192","192"
"388000","24","24","24","193","193","193"
"390000","24","24","24","194","194","194"
"392000","24","24","24","195","195","195"
"394000","24","24","24","196","196","196"
"396000","24","24","24","197","197","197"
"398000","24","24","24","198","198","198"
"400000","24","24","24","199","199","199"
"402000","24","24","24","200","200","200"
"404000","24","24","24","201","201","201"
"406000","24","24","24","202","202","202"
"408000","24","24","24","203","203","203"
"410000","24","24","24","204","204","204"
"412000","24","24","24","205","205","205"
"414000","24","24","24","206","206","206"
"416000","24","24","24","207","207","207"
"418000","24","24","24","208","208","208"
"420000","24","24","24","209","209","209"
"422000","24","24","24","210","210","210"
"424000","24","24","24","211","211","211"
"426000","24","24","24","212","212","212"
"428000","24","24","24","213","213","213"
"430000","24","24","24","214","214","214"
"432000","24","24","24","215","215","215"
"434000","24","24","24","216","216","216"
"436000","24","24","24","217","217","217"
"438000","24","24","24","218","218","218"
"440000","24","24","24","219","219","219"
"442000","24","24","24","220","220","220"
"444000","24","24","24","221","221","221"
"446000","24","24","24","222","222","222"
"448000","24","24","24","223","223","223"
"450000","24","24","24","224","224","224"
"452000","24","24","24","225","225","225"
"454000","24","24","24","226","226","226"
"456000","24","24","24","227","227","227"
"458000","24","24","24","228","228","228"
"460000","24","24","24","229","229","229"
"462000","24","24","24","230","230","230"
"464000","24","24","24","231","231","231"
"466000","24","24","24","232","232","232"
"468000","24","24","24","233","233","233"
"470000","24","24","24","234","234","234"
"472000","24","24","24","235","235","235"
"474000","24","24","24","236","236","236"
"476000","24","24","24","237","237","237"
"478000","24","24","24","238","238","238"
"480000","24","24","24","239","239","239"
"482000","24","24","24","240","240","240"
"484000","24","24","24","241","241","241"
"486000","24","24","24","242","242","242"
"488000","24","24","24","243","243","243"
"490000","24","24","24","244","244","244"
"492000","24","24","24","245","245","245"
"494000","24","24","24","246","246","246"
"496000","24","24","24","247","247","247"
"498000","24","24","24","248","248","248"
"500000","24","24","24","249","249","249"
"502000","24","24","24","250","250","250"
"504000","24","24","24","251","251","251"
"506000","24","24","24","252","252","252"
"508000","24","24","24","253","253","253"
"510000","24","24","24","254","254","254"
"512000","24","24","24","255","255","255"
"514000","24","24","24","256","256","256"
"516000","24","24","24","257","257","257"
"518000","24","24","24","258","258","258"
"520000","24","24","24","259","259","259"
"522000","24","24","24","260","260","260"
"524000","24","24","24","261","261","261"
"526000","24","24","24","262","262","262"
"528000","24","24","24","263","263","263"
"530000","24","24","24","264","264","264"
"532000","24","24","24","265","265","265"
"534000","24","24","24","266","266","266"
"536000","24","24","24","267","267","267"
"538000","24","24","24","268","268","268"
"540000","24","24","24","269","269","269"
"542000","24","24","24","270","270","270"
"544000","24","24","24","271","271","271"
"546000","24","24","24","272","272","272"
"548000","24","24","24","273","273","273"
"550000","24","24","24","274","274","274"
"552000","24","24","24","275","275","275"
"554000","24","24","24","276","276","276"
"556000","24","24","24","277","277","277"
"558000","24","24","24","278","278","278"
"560000","24","24","24","279","279","279"
"562000","24","24","24","280","280","280"
"564000","24","24","24","281","281","281"
"566000","24","24","24","282","282","282"
"568000","24","24","24","283","283","283"
"570000","24","24","24","284","284","284"
"572000","24","24","24","285","285","285"
"574000","24","24","24","286","286","286"
"576000","24","24","24","287","287","287"
"578000","24","24","24","288","288","288"
"580000","24","24","24","289","289","289"
"582000","24","24","24","290","290","290"
"584000","24","24","24","291","291","291"
"586000","24","24","24","292","292","292"
"588000","24","24","24","293","293","293"
"590000","24","24","24","294","294","294"
"592000","24","24","24","295","295","295"
"594000","24","24","24","296","296","296"
"596000","24","24","24","297","297","297"
"598000","24","24","24","298","298","298"
"600000","24","24","24","299","299","299"
"602000","24","24","24","300","300","300"
"604000","24","24","24","301","301","301"
"606000","24","24","24","302","302","302"
"608000","24","24","24","303","303","303"
"610000","24","24","24","304","304","304"
"612000","24","24","24","305","305","305"
"614000","24","24","24","306","306","306"
"616000","23","23","23","307","307","307"
"618000","23","23","23","308","308","308"
"620000","23","23","23","309","309","309"
"622000","23","23","23","310","310","310"
"624000","23","23","23","311","311","311"
"626000","23","23","23","312","312","312"
"628000","23","23","23","313","313","313"
"630000","23","23","23","314","314","314"
"632000","23","23","23","315","315","315"
"634000","23","23","23","316","316","316"
"636000","23","23","23","317","317","317"
"638000","23","23","23","318","318","318"
"640000","23","23","23","319","319","319"
"642000","23","23","23","320","320","320"
"644000","23","23","23","321","321","321"
"646000","23","23","23","322","322","322"
"648000","23","23","23","323","323","323"
"650000","23","23","23","324","324","324"
"652000","23","23","23","325","325","325"
"654000","23","23","23","326","326","326"
"656000","23","23","23","327","327","327"
"658000","23","23","23","328","328","328"
"660000","23","23","23","329","329","329"
"662000","23","23","23","330","330","330"
"664000","23","23","23","331","331","331"
"666000","23","23","23","332","332","332"
"668000","23","23","23","333","333","333"
"670000","23","23","23","334","334","334"
"672000","23","23","23","335","335","335"
"674000","23","23","23","336","336","336"
"676000","23","23","23","337","337","337"
"678000","23","23","23","338","338","338"
"680000","23","23","23","339","339","339"
"682000","23","23","23","340","340","340"
"684000","23","23","23","341","341","341"
"686000","23","23","23","342","342","342"
"688000","23","23","23","343","343","343"
"690000","23","23","23","344","344","344"
"692000","23","23","23","345","345","345"
"694000","23","23","23","346","346","346"
"696000","23","23","23","347","347","347"
"698000","23","23","23","348","348","348"
"700000","23","23","23","349","349","349"
"702000","23","23","23","350","350","350"
"704000","23","23","23","351","351","351"
"706000","23","23","23","352","352","352"
"708000","23","23","23","353","353","353"
"710000","23","23","23","354","354","354"
"712000","23","23","23","355","355","355"
"714000","23","23","23","356","356","356"
"716000","23","23","23","357","357","357"
"718000","23","23","23","358","358","358"
"720000","23","23","23","359","359","359"
"722000","23","23","23","360","360","360"
"724000","23","23","23","361","361","361"
"726000","23","23","23","362","362","362"
"728000","23","23","23","363","363","363"
"730000","23","23","23","364","364","364"
"732000","23","23","23","365","365","365"
"734000","23","23","23","366","366","366"
"736000","23","23","23","367","367","367"
"738000","23","23","23","368","368","368"
"740000","23","23","23","369","369","369"
"742000","23","23","23","370","370","370"
"744000","23","23","23","371","371","371"
"746000","23","23","23","372","372","372"
"748000","23","23","23","373","373","373"
"750000","23","23","23","374","374","374"
"752000","23","23","23","375","375","375"
"754000","23","23","23","376","376","376"
"756000","23","23","23","377","377","377"
"758000","23","23","23","378","378","378"
"760000","23","23","23","379","379","379"
"762000","23","23","23","380","380","380"
"764000","23","23","23","381","381","381"
"766000","23","23","23","382","382","382"
"768000","23","23","23","383","383","383"
"770000","23","23","23","384","384","384"
"772000","23","23","23","385","385","385"
"774000","23","23","23","386","386","386"
"776000","23","23","23","387","387","387"
"778000","23","23","23","388","388","388"
"780000","23","23","23","389","389","389"
"782000","23","23","23","390","390","390"
"784000","23","23","23","391","391","391"
"786000","23","23","23","392","392","392"
"788000","23","23","23","393","393","393"
"790000","23","23","23","394","394","394"
"792000","23","23","23","395","395","395"
"794000","23","23","23","396","396","396"
"796000","23","23","23","397","397","397"
"798000","23","23","23","398","398","398"
"800000","23","23","23","399","399","399"
"802000","23","23","23","400","400","400"
"804000","23","23","23","401","401","401"
"806000","23","23","23","402","402","402"
"808000","23","23","23","403","403","403"
"810000","23","23","23","404","404","404"
"812000","23","23","23","405","405","405"
"814000","23","23","23","406","406","406"
