"global_step","251221_DQN - train/final_episode_iou","251221_DQN - train/final_episode_iou__MIN","251221_DQN - train/final_episode_iou__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"164000","0.41360047459602356","0.41360047459602356","0.41360047459602356","81","81","81"
"166000","0.3273700177669525","0.3273700177669525","0.3273700177669525","82","82","82"
"168000","0.4892865717411041","0.4892865717411041","0.4892865717411041","83","83","83"
"170000","0.3320584297180176","0.3320584297180176","0.3320584297180176","84","84","84"
"172000","0.28822335600852966","0.28822335600852966","0.28822335600852966","85","85","85"
"174000","0.46226415038108826","0.46226415038108826","0.46226415038108826","86","86","86"
"176000","0.1035100668668747","0.1035100668668747","0.1035100668668747","87","87","87"
"178000","0.2583858370780945","0.2583858370780945","0.2583858370780945","88","88","88"
"180000","0.28017282485961914","0.28017282485961914","0.28017282485961914","89","89","89"
"182000","0.430178165435791","0.430178165435791","0.430178165435791","90","90","90"
"184000","0.4550551772117615","0.4550551772117615","0.4550551772117615","91","91","91"
"186000","0.13698740303516388","0.13698740303516388","0.13698740303516388","92","92","92"
"188000","0.3942053020000458","0.3942053020000458","0.3942053020000458","93","93","93"
"190000","0.45590510964393616","0.45590510964393616","0.45590510964393616","94","94","94"
"192000","0.3828246295452118","0.3828246295452118","0.3828246295452118","95","95","95"
"194000","0.43719297647476196","0.43719297647476196","0.43719297647476196","96","96","96"
"196000","0.44445621967315674","0.44445621967315674","0.44445621967315674","97","97","97"
"198000","0.32362616062164307","0.32362616062164307","0.32362616062164307","98","98","98"
"200000","0.3601827323436737","0.3601827323436737","0.3601827323436737","99","99","99"
"202000","0.21255190670490265","0.21255190670490265","0.21255190670490265","100","100","100"
"204000","0.4017449915409088","0.4017449915409088","0.4017449915409088","101","101","101"
"206000","0.3580164313316345","0.3580164313316345","0.3580164313316345","102","102","102"
"208000","0.2952001988887787","0.2952001988887787","0.2952001988887787","103","103","103"
"210000","0.3061874806880951","0.3061874806880951","0.3061874806880951","104","104","104"
"212000","0.28487443923950195","0.28487443923950195","0.28487443923950195","105","105","105"
"214000","0.23328043520450592","0.23328043520450592","0.23328043520450592","106","106","106"
"216000","0.2731907069683075","0.2731907069683075","0.2731907069683075","107","107","107"
"218000","0.42142510414123535","0.42142510414123535","0.42142510414123535","108","108","108"
"220000","0.2915070652961731","0.2915070652961731","0.2915070652961731","109","109","109"
"222000","0.389923632144928","0.389923632144928","0.389923632144928","110","110","110"
"224000","0.4450133740901947","0.4450133740901947","0.4450133740901947","111","111","111"
"226000","0.2852807343006134","0.2852807343006134","0.2852807343006134","112","112","112"
"228000","0.235398069024086","0.235398069024086","0.235398069024086","113","113","113"
"230000","0.33141276240348816","0.33141276240348816","0.33141276240348816","114","114","114"
"232000","0.3832903504371643","0.3832903504371643","0.3832903504371643","115","115","115"
"234000","0.30200159549713135","0.30200159549713135","0.30200159549713135","116","116","116"
"236000","0.40494200587272644","0.40494200587272644","0.40494200587272644","117","117","117"
"238000","0.2946435213088989","0.2946435213088989","0.2946435213088989","118","118","118"
"240000","0.26295042037963867","0.26295042037963867","0.26295042037963867","119","119","119"
"242000","0.3029817044734955","0.3029817044734955","0.3029817044734955","120","120","120"
"244000","0.2802458703517914","0.2802458703517914","0.2802458703517914","121","121","121"
"246000","0.3642486035823822","0.3642486035823822","0.3642486035823822","122","122","122"
"248000","0.42472410202026367","0.42472410202026367","0.42472410202026367","123","123","123"
"250000","0.224760040640831","0.224760040640831","0.224760040640831","124","124","124"
"252000","0.2503593862056732","0.2503593862056732","0.2503593862056732","125","125","125"
"254000","0.3689456582069397","0.3689456582069397","0.3689456582069397","126","126","126"
"256000","0.3827420473098755","0.3827420473098755","0.3827420473098755","127","127","127"
"258000","0.27762719988822937","0.27762719988822937","0.27762719988822937","128","128","128"
"260000","0.46105945110321045","0.46105945110321045","0.46105945110321045","129","129","129"
"262000","0.3079812228679657","0.3079812228679657","0.3079812228679657","130","130","130"
"264000","0.3811167776584625","0.3811167776584625","0.3811167776584625","131","131","131"
"266000","0.3066783845424652","0.3066783845424652","0.3066783845424652","132","132","132"
"268000","0.39619749784469604","0.39619749784469604","0.39619749784469604","133","133","133"
"270000","0.21415095031261444","0.21415095031261444","0.21415095031261444","134","134","134"
"272000","0.32204824686050415","0.32204824686050415","0.32204824686050415","135","135","135"
"274000","0.4132564961910248","0.4132564961910248","0.4132564961910248","136","136","136"
"276000","0.43053755164146423","0.43053755164146423","0.43053755164146423","137","137","137"
"278000","0.35895222425460815","0.35895222425460815","0.35895222425460815","138","138","138"
"280000","0.3805004954338074","0.3805004954338074","0.3805004954338074","139","139","139"
"282000","0.4538383483886719","0.4538383483886719","0.4538383483886719","140","140","140"
"284000","0.22919605672359467","0.22919605672359467","0.22919605672359467","141","141","141"
"286000","0.4789330065250397","0.4789330065250397","0.4789330065250397","142","142","142"
"288000","0.3495684266090393","0.3495684266090393","0.3495684266090393","143","143","143"
"290000","0.41988715529441833","0.41988715529441833","0.41988715529441833","144","144","144"
"292000","0.29459768533706665","0.29459768533706665","0.29459768533706665","145","145","145"
"294000","0.18424712121486664","0.18424712121486664","0.18424712121486664","146","146","146"
"296000","0.37000370025634766","0.37000370025634766","0.37000370025634766","147","147","147"
"298000","0.3310827612876892","0.3310827612876892","0.3310827612876892","148","148","148"
"300000","0.47395041584968567","0.47395041584968567","0.47395041584968567","149","149","149"
"302000","0.4495466351509094","0.4495466351509094","0.4495466351509094","150","150","150"
"304000","0.3088904917240143","0.3088904917240143","0.3088904917240143","151","151","151"
"306000","0.28920668363571167","0.28920668363571167","0.28920668363571167","152","152","152"
"308000","0.2393084615468979","0.2393084615468979","0.2393084615468979","153","153","153"
"310000","0.39348676800727844","0.39348676800727844","0.39348676800727844","154","154","154"
"312000","0.429044634103775","0.429044634103775","0.429044634103775","155","155","155"
"314000","0.40298134088516235","0.40298134088516235","0.40298134088516235","156","156","156"
"316000","0.27914977073669434","0.27914977073669434","0.27914977073669434","157","157","157"
"318000","0.2036048024892807","0.2036048024892807","0.2036048024892807","158","158","158"
"320000","0.3382483720779419","0.3382483720779419","0.3382483720779419","159","159","159"
"322000","0.2543615698814392","0.2543615698814392","0.2543615698814392","160","160","160"
"324000","0.39002931118011475","0.39002931118011475","0.39002931118011475","161","161","161"
"326000","0.35443153977394104","0.35443153977394104","0.35443153977394104","162","162","162"
"328000","0.33470243215560913","0.33470243215560913","0.33470243215560913","163","163","163"
"330000","0.29500269889831543","0.29500269889831543","0.29500269889831543","164","164","164"
"332000","0.3293537199497223","0.3293537199497223","0.3293537199497223","165","165","165"
"334000","0.33640551567077637","0.33640551567077637","0.33640551567077637","166","166","166"
"336000","0.3632025122642517","0.3632025122642517","0.3632025122642517","167","167","167"
"338000","0.3904237151145935","0.3904237151145935","0.3904237151145935","168","168","168"
"340000","0.4025197923183441","0.4025197923183441","0.4025197923183441","169","169","169"
"342000","0.27669692039489746","0.27669692039489746","0.27669692039489746","170","170","170"
"344000","0.410876989364624","0.410876989364624","0.410876989364624","171","171","171"
"346000","0.26140642166137695","0.26140642166137695","0.26140642166137695","172","172","172"
"348000","0.31128230690956116","0.31128230690956116","0.31128230690956116","173","173","173"
"350000","0.3680632412433624","0.3680632412433624","0.3680632412433624","174","174","174"
"352000","0.37292495369911194","0.37292495369911194","0.37292495369911194","175","175","175"
"354000","0.3418629467487335","0.3418629467487335","0.3418629467487335","176","176","176"
"356000","0.37786993384361267","0.37786993384361267","0.37786993384361267","177","177","177"
"358000","0.4648320972919464","0.4648320972919464","0.4648320972919464","178","178","178"
"360000","0.36866432428359985","0.36866432428359985","0.36866432428359985","179","179","179"
"362000","0.37505149841308594","0.37505149841308594","0.37505149841308594","180","180","180"
"364000","0.2230762541294098","0.2230762541294098","0.2230762541294098","181","181","181"
"366000","0.459707111120224","0.459707111120224","0.459707111120224","182","182","182"
"368000","0.3325490951538086","0.3325490951538086","0.3325490951538086","183","183","183"
"370000","0.34465277194976807","0.34465277194976807","0.34465277194976807","184","184","184"
"372000","0.3055170178413391","0.3055170178413391","0.3055170178413391","185","185","185"
"374000","0.5293702483177185","0.5293702483177185","0.5293702483177185","186","186","186"
"376000","0.2302752286195755","0.2302752286195755","0.2302752286195755","187","187","187"
"378000","0.35192954540252686","0.35192954540252686","0.35192954540252686","188","188","188"
"380000","0.46832960844039917","0.46832960844039917","0.46832960844039917","189","189","189"
"382000","0.2397260218858719","0.2397260218858719","0.2397260218858719","190","190","190"
"384000","0.3362523317337036","0.3362523317337036","0.3362523317337036","191","191","191"
"386000","0.4441837966442108","0.4441837966442108","0.4441837966442108","192","192","192"
"388000","0.4369382858276367","0.4369382858276367","0.4369382858276367","193","193","193"
"390000","0.2136986255645752","0.2136986255645752","0.2136986255645752","194","194","194"
"392000","0.3821212351322174","0.3821212351322174","0.3821212351322174","195","195","195"
"394000","0.3745928406715393","0.3745928406715393","0.3745928406715393","196","196","196"
"396000","0.35735806822776794","0.35735806822776794","0.35735806822776794","197","197","197"
"398000","0.12437118589878082","0.12437118589878082","0.12437118589878082","198","198","198"
"400000","0.44800472259521484","0.44800472259521484","0.44800472259521484","199","199","199"
"402000","0.3997468054294586","0.3997468054294586","0.3997468054294586","200","200","200"
"404000","0.29766759276390076","0.29766759276390076","0.29766759276390076","201","201","201"
"406000","0.32333052158355713","0.32333052158355713","0.32333052158355713","202","202","202"
"408000","0.27265307307243347","0.27265307307243347","0.27265307307243347","203","203","203"
"410000","0.23505572974681854","0.23505572974681854","0.23505572974681854","204","204","204"
"412000","0.3407742977142334","0.3407742977142334","0.3407742977142334","205","205","205"
"414000","0.3187306821346283","0.3187306821346283","0.3187306821346283","206","206","206"
"416000","0.4687086343765259","0.4687086343765259","0.4687086343765259","207","207","207"
"418000","0.40682944655418396","0.40682944655418396","0.40682944655418396","208","208","208"
"420000","0.3020399808883667","0.3020399808883667","0.3020399808883667","209","209","209"
"422000","0.3134527802467346","0.3134527802467346","0.3134527802467346","210","210","210"
"424000","0.29561689496040344","0.29561689496040344","0.29561689496040344","211","211","211"
"426000","0.351027250289917","0.351027250289917","0.351027250289917","212","212","212"
"428000","0.3497903347015381","0.3497903347015381","0.3497903347015381","213","213","213"
"430000","0.268598347902298","0.268598347902298","0.268598347902298","214","214","214"
"432000","0.3405115604400635","0.3405115604400635","0.3405115604400635","215","215","215"
"434000","0.36871275305747986","0.36871275305747986","0.36871275305747986","216","216","216"
"436000","0.35415247082710266","0.35415247082710266","0.35415247082710266","217","217","217"
"438000","0.3304324746131897","0.3304324746131897","0.3304324746131897","218","218","218"
"440000","0.4070253372192383","0.4070253372192383","0.4070253372192383","219","219","219"
"442000","0.3586368262767792","0.3586368262767792","0.3586368262767792","220","220","220"
"444000","0.3360516428947449","0.3360516428947449","0.3360516428947449","221","221","221"
"446000","0.30356356501579285","0.30356356501579285","0.30356356501579285","222","222","222"
"448000","0.3258417546749115","0.3258417546749115","0.3258417546749115","223","223","223"
"450000","0.1421644240617752","0.1421644240617752","0.1421644240617752","224","224","224"
"452000","0.3895867168903351","0.3895867168903351","0.3895867168903351","225","225","225"
"454000","0.24534380435943604","0.24534380435943604","0.24534380435943604","226","226","226"
"456000","0.3297176659107208","0.3297176659107208","0.3297176659107208","227","227","227"
"458000","0.2907789349555969","0.2907789349555969","0.2907789349555969","228","228","228"
"460000","0.3493681252002716","0.3493681252002716","0.3493681252002716","229","229","229"
"462000","0.30778050422668457","0.30778050422668457","0.30778050422668457","230","230","230"
"464000","0.19491873681545258","0.19491873681545258","0.19491873681545258","231","231","231"
"466000","0.26797983050346375","0.26797983050346375","0.26797983050346375","232","232","232"
"468000","0.28804346919059753","0.28804346919059753","0.28804346919059753","233","233","233"
"470000","0.2410915642976761","0.2410915642976761","0.2410915642976761","234","234","234"
"472000","0.3042142689228058","0.3042142689228058","0.3042142689228058","235","235","235"
"474000","0.46254467964172363","0.46254467964172363","0.46254467964172363","236","236","236"
"476000","0.1375216692686081","0.1375216692686081","0.1375216692686081","237","237","237"
"478000","0.32638129591941833","0.32638129591941833","0.32638129591941833","238","238","238"
"480000","0.3618585765361786","0.3618585765361786","0.3618585765361786","239","239","239"
"482000","0.3534489870071411","0.3534489870071411","0.3534489870071411","240","240","240"
"484000","0.4013073444366455","0.4013073444366455","0.4013073444366455","241","241","241"
"486000","0.46068060398101807","0.46068060398101807","0.46068060398101807","242","242","242"
"488000","0.33003565669059753","0.33003565669059753","0.33003565669059753","243","243","243"
"490000","0.3243308365345001","0.3243308365345001","0.3243308365345001","244","244","244"
"492000","0.5189208984375","0.5189208984375","0.5189208984375","245","245","245"
"494000","0.3665522336959839","0.3665522336959839","0.3665522336959839","246","246","246"
"496000","0.39711758494377136","0.39711758494377136","0.39711758494377136","247","247","247"
"498000","0.45753899216651917","0.45753899216651917","0.45753899216651917","248","248","248"
"500000","0.32835257053375244","0.32835257053375244","0.32835257053375244","249","249","249"
"502000","0.48566675186157227","0.48566675186157227","0.48566675186157227","250","250","250"
"504000","0.38329216837882996","0.38329216837882996","0.38329216837882996","251","251","251"
"506000","0.4179755747318268","0.4179755747318268","0.4179755747318268","252","252","252"
"508000","0.28522989153862","0.28522989153862","0.28522989153862","253","253","253"
"510000","0.32780352234840393","0.32780352234840393","0.32780352234840393","254","254","254"
"512000","0.33907216787338257","0.33907216787338257","0.33907216787338257","255","255","255"
"514000","0.35408589243888855","0.35408589243888855","0.35408589243888855","256","256","256"
"516000","0.3699006736278534","0.3699006736278534","0.3699006736278534","257","257","257"
"518000","0.5462468862533569","0.5462468862533569","0.5462468862533569","258","258","258"
"520000","0.26764386892318726","0.26764386892318726","0.26764386892318726","259","259","259"
"522000","0.40486350655555725","0.40486350655555725","0.40486350655555725","260","260","260"
"524000","0.35882097482681274","0.35882097482681274","0.35882097482681274","261","261","261"
"526000","0.4240557551383972","0.4240557551383972","0.4240557551383972","262","262","262"
"528000","0.43125757575035095","0.43125757575035095","0.43125757575035095","263","263","263"
"530000","0.43335428833961487","0.43335428833961487","0.43335428833961487","264","264","264"
"532000","0.11258912086486816","0.11258912086486816","0.11258912086486816","265","265","265"
"534000","0.3156634271144867","0.3156634271144867","0.3156634271144867","266","266","266"
"536000","0.3177865743637085","0.3177865743637085","0.3177865743637085","267","267","267"
"538000","0.3432120084762573","0.3432120084762573","0.3432120084762573","268","268","268"
"540000","0.32322564721107483","0.32322564721107483","0.32322564721107483","269","269","269"
"542000","0.456197589635849","0.456197589635849","0.456197589635849","270","270","270"
"544000","0.27232733368873596","0.27232733368873596","0.27232733368873596","271","271","271"
"546000","0.4278505742549896","0.4278505742549896","0.4278505742549896","272","272","272"
"548000","0.35702723264694214","0.35702723264694214","0.35702723264694214","273","273","273"
"550000","0.05235738307237625","0.05235738307237625","0.05235738307237625","274","274","274"
"552000","0.3185504674911499","0.3185504674911499","0.3185504674911499","275","275","275"
"554000","0.304483026266098","0.304483026266098","0.304483026266098","276","276","276"
"556000","0.3111248016357422","0.3111248016357422","0.3111248016357422","277","277","277"
"558000","0.21359816193580627","0.21359816193580627","0.21359816193580627","278","278","278"
"560000","0.3086443543434143","0.3086443543434143","0.3086443543434143","279","279","279"
"562000","0.34449872374534607","0.34449872374534607","0.34449872374534607","280","280","280"
"564000","0.41995418071746826","0.41995418071746826","0.41995418071746826","281","281","281"
"566000","0.3663129210472107","0.3663129210472107","0.3663129210472107","282","282","282"
"568000","0.17815248668193817","0.17815248668193817","0.17815248668193817","283","283","283"
"570000","0.4460761249065399","0.4460761249065399","0.4460761249065399","284","284","284"
"572000","0.30888479948043823","0.30888479948043823","0.30888479948043823","285","285","285"
"574000","0.3018898069858551","0.3018898069858551","0.3018898069858551","286","286","286"
"576000","0.29873570799827576","0.29873570799827576","0.29873570799827576","287","287","287"
"578000","0.35241198539733887","0.35241198539733887","0.35241198539733887","288","288","288"
"580000","0.4275253415107727","0.4275253415107727","0.4275253415107727","289","289","289"
"582000","0.351360023021698","0.351360023021698","0.351360023021698","290","290","290"
"584000","0.3563896417617798","0.3563896417617798","0.3563896417617798","291","291","291"
"586000","0.3123660385608673","0.3123660385608673","0.3123660385608673","292","292","292"
"588000","0.39075103402137756","0.39075103402137756","0.39075103402137756","293","293","293"
"590000","0.3414864242076874","0.3414864242076874","0.3414864242076874","294","294","294"
"592000","0.21390239894390106","0.21390239894390106","0.21390239894390106","295","295","295"
"594000","0.30108484625816345","0.30108484625816345","0.30108484625816345","296","296","296"
"596000","0.4346945285797119","0.4346945285797119","0.4346945285797119","297","297","297"
"598000","0.3751869797706604","0.3751869797706604","0.3751869797706604","298","298","298"
"600000","0.4118163585662842","0.4118163585662842","0.4118163585662842","299","299","299"
"602000","0.36882612109184265","0.36882612109184265","0.36882612109184265","300","300","300"
"604000","0.36073341965675354","0.36073341965675354","0.36073341965675354","301","301","301"
"606000","0.30304086208343506","0.30304086208343506","0.30304086208343506","302","302","302"
"608000","0.293953001499176","0.293953001499176","0.293953001499176","303","303","303"
"610000","0.4149065911769867","0.4149065911769867","0.4149065911769867","304","304","304"
"612000","0.2903467118740082","0.2903467118740082","0.2903467118740082","305","305","305"
"614000","0.24274155497550964","0.24274155497550964","0.24274155497550964","306","306","306"
"616000","0.3921172320842743","0.3921172320842743","0.3921172320842743","307","307","307"
"618000","0.37641701102256775","0.37641701102256775","0.37641701102256775","308","308","308"
"620000","0.22409358620643616","0.22409358620643616","0.22409358620643616","309","309","309"
"622000","0.2505723536014557","0.2505723536014557","0.2505723536014557","310","310","310"
"624000","0.36852091550827026","0.36852091550827026","0.36852091550827026","311","311","311"
"626000","0.3724217414855957","0.3724217414855957","0.3724217414855957","312","312","312"
"628000","0.25369927287101746","0.25369927287101746","0.25369927287101746","313","313","313"
"630000","0.33083564043045044","0.33083564043045044","0.33083564043045044","314","314","314"
"632000","0.3777500092983246","0.3777500092983246","0.3777500092983246","315","315","315"
"634000","0.4577100872993469","0.4577100872993469","0.4577100872993469","316","316","316"
"636000","0.3778528571128845","0.3778528571128845","0.3778528571128845","317","317","317"
"638000","0.36286574602127075","0.36286574602127075","0.36286574602127075","318","318","318"
"640000","0.2689345180988312","0.2689345180988312","0.2689345180988312","319","319","319"
"642000","0.3889380991458893","0.3889380991458893","0.3889380991458893","320","320","320"
"644000","0.4343565106391907","0.4343565106391907","0.4343565106391907","321","321","321"
"646000","0.2568620443344116","0.2568620443344116","0.2568620443344116","322","322","322"
"648000","0.3461567163467407","0.3461567163467407","0.3461567163467407","323","323","323"
"650000","0.48100289702415466","0.48100289702415466","0.48100289702415466","324","324","324"
"652000","0.434023380279541","0.434023380279541","0.434023380279541","325","325","325"
"654000","0.37999582290649414","0.37999582290649414","0.37999582290649414","326","326","326"
"656000","0.3851160705089569","0.3851160705089569","0.3851160705089569","327","327","327"
"658000","0.4178456962108612","0.4178456962108612","0.4178456962108612","328","328","328"
"660000","0.19700928032398224","0.19700928032398224","0.19700928032398224","329","329","329"
"662000","0.24680453538894653","0.24680453538894653","0.24680453538894653","330","330","330"
"664000","0.3393910527229309","0.3393910527229309","0.3393910527229309","331","331","331"
"666000","0.39092931151390076","0.39092931151390076","0.39092931151390076","332","332","332"
"668000","0.3440573215484619","0.3440573215484619","0.3440573215484619","333","333","333"
"670000","0.35093626379966736","0.35093626379966736","0.35093626379966736","334","334","334"
"672000","0.34108343720436096","0.34108343720436096","0.34108343720436096","335","335","335"
"674000","0.42902788519859314","0.42902788519859314","0.42902788519859314","336","336","336"
"676000","0.37012484669685364","0.37012484669685364","0.37012484669685364","337","337","337"
"678000","0.21137070655822754","0.21137070655822754","0.21137070655822754","338","338","338"
"680000","0.3109724819660187","0.3109724819660187","0.3109724819660187","339","339","339"
"682000","0.45562422275543213","0.45562422275543213","0.45562422275543213","340","340","340"
"684000","0.3929117023944855","0.3929117023944855","0.3929117023944855","341","341","341"
"686000","0.27148354053497314","0.27148354053497314","0.27148354053497314","342","342","342"
"688000","0.2213888168334961","0.2213888168334961","0.2213888168334961","343","343","343"
"690000","0.2207927107810974","0.2207927107810974","0.2207927107810974","344","344","344"
"692000","0.3906075954437256","0.3906075954437256","0.3906075954437256","345","345","345"
"694000","0.398494154214859","0.398494154214859","0.398494154214859","346","346","346"
"696000","0.34220388531684875","0.34220388531684875","0.34220388531684875","347","347","347"
"698000","0.4306791424751282","0.4306791424751282","0.4306791424751282","348","348","348"
"700000","0.300984650850296","0.300984650850296","0.300984650850296","349","349","349"
"702000","0.2870890200138092","0.2870890200138092","0.2870890200138092","350","350","350"
"704000","0.373289555311203","0.373289555311203","0.373289555311203","351","351","351"
"706000","0.3061484098434448","0.3061484098434448","0.3061484098434448","352","352","352"
"708000","0.3929179012775421","0.3929179012775421","0.3929179012775421","353","353","353"
"710000","0.22972729802131653","0.22972729802131653","0.22972729802131653","354","354","354"
"712000","0.3987298309803009","0.3987298309803009","0.3987298309803009","355","355","355"
"714000","0.17502731084823608","0.17502731084823608","0.17502731084823608","356","356","356"
"716000","0.17777389287948608","0.17777389287948608","0.17777389287948608","357","357","357"
"718000","0.2674618065357208","0.2674618065357208","0.2674618065357208","358","358","358"
"720000","0.36168116331100464","0.36168116331100464","0.36168116331100464","359","359","359"
"722000","0.3996839225292206","0.3996839225292206","0.3996839225292206","360","360","360"
"724000","0.43625685572624207","0.43625685572624207","0.43625685572624207","361","361","361"
