"global_step","251221_DQN - train/final_pos_count","251221_DQN - train/final_pos_count__MIN","251221_DQN - train/final_pos_count__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"366000","14","14","14","182","182","182"
"368000","15","15","15","183","183","183"
"370000","15","15","15","184","184","184"
"372000","14","14","14","185","185","185"
"374000","15","15","15","186","186","186"
"376000","9","9","9","187","187","187"
"378000","15","15","15","188","188","188"
"380000","15","15","15","189","189","189"
"382000","12","12","12","190","190","190"
"384000","15","15","15","191","191","191"
"386000","15","15","15","192","192","192"
"388000","13","13","13","193","193","193"
"390000","8","8","8","194","194","194"
"392000","15","15","15","195","195","195"
"394000","15","15","15","196","196","196"
"396000","11","11","11","197","197","197"
"398000","8","8","8","198","198","198"
"400000","15","15","15","199","199","199"
"402000","15","15","15","200","200","200"
"404000","14","14","14","201","201","201"
"406000","14","14","14","202","202","202"
"408000","13","13","13","203","203","203"
"410000","13","13","13","204","204","204"
"412000","15","15","15","205","205","205"
"414000","10","10","10","206","206","206"
"416000","15","15","15","207","207","207"
"418000","15","15","15","208","208","208"
"420000","12","12","12","209","209","209"
"422000","15","15","15","210","210","210"
"424000","15","15","15","211","211","211"
"426000","14","14","14","212","212","212"
"428000","15","15","15","213","213","213"
"430000","10","10","10","214","214","214"
"432000","15","15","15","215","215","215"
"434000","15","15","15","216","216","216"
"436000","14","14","14","217","217","217"
"438000","14","14","14","218","218","218"
"440000","15","15","15","219","219","219"
"442000","15","15","15","220","220","220"
"444000","15","15","15","221","221","221"
"446000","15","15","15","222","222","222"
"448000","12","12","12","223","223","223"
"450000","7","7","7","224","224","224"
"452000","14","14","14","225","225","225"
"454000","12","12","12","226","226","226"
"456000","15","15","15","227","227","227"
"458000","14","14","14","228","228","228"
"460000","13","13","13","229","229","229"
"462000","15","15","15","230","230","230"
"464000","9","9","9","231","231","231"
"466000","13","13","13","232","232","232"
"468000","13","13","13","233","233","233"
"470000","15","15","15","234","234","234"
"472000","15","15","15","235","235","235"
"474000","15","15","15","236","236","236"
"476000","8","8","8","237","237","237"
"478000","15","15","15","238","238","238"
"480000","15","15","15","239","239","239"
"482000","15","15","15","240","240","240"
"484000","13","13","13","241","241","241"
"486000","14","14","14","242","242","242"
"488000","15","15","15","243","243","243"
"490000","14","14","14","244","244","244"
"492000","15","15","15","245","245","245"
"494000","14","14","14","246","246","246"
"496000","14","14","14","247","247","247"
"498000","14","14","14","248","248","248"
"500000","15","15","15","249","249","249"
"502000","13","13","13","250","250","250"
"504000","15","15","15","251","251","251"
"506000","14","14","14","252","252","252"
"508000","13","13","13","253","253","253"
"510000","14","14","14","254","254","254"
"512000","15","15","15","255","255","255"
"514000","15","15","15","256","256","256"
"516000","14","14","14","257","257","257"
"518000","15","15","15","258","258","258"
"520000","15","15","15","259","259","259"
"522000","14","14","14","260","260","260"
"524000","15","15","15","261","261","261"
"526000","15","15","15","262","262","262"
"528000","15","15","15","263","263","263"
"530000","15","15","15","264","264","264"
"532000","3","3","3","265","265","265"
"534000","4","4","4","266","266","266"
"536000","15","15","15","267","267","267"
"538000","15","15","15","268","268","268"
"540000","14","14","14","269","269","269"
"542000","14","14","14","270","270","270"
"544000","14","14","14","271","271","271"
"546000","14","14","14","272","272","272"
"548000","14","14","14","273","273","273"
"550000","6","6","6","274","274","274"
"552000","10","10","10","275","275","275"
"554000","13","13","13","276","276","276"
"556000","13","13","13","277","277","277"
"558000","15","15","15","278","278","278"
"560000","9","9","9","279","279","279"
"562000","15","15","15","280","280","280"
"564000","14","14","14","281","281","281"
"566000","14","14","14","282","282","282"
"568000","6","6","6","283","283","283"
"570000","7","7","7","284","284","284"
"572000","15","15","15","285","285","285"
"574000","15","15","15","286","286","286"
"576000","15","15","15","287","287","287"
"578000","12","12","12","288","288","288"
"580000","14","14","14","289","289","289"
"582000","15","15","15","290","290","290"
"584000","12","12","12","291","291","291"
"586000","14","14","14","292","292","292"
"588000","15","15","15","293","293","293"
"590000","14","14","14","294","294","294"
"592000","10","10","10","295","295","295"
"594000","11","11","11","296","296","296"
"596000","15","15","15","297","297","297"
"598000","14","14","14","298","298","298"
"600000","15","15","15","299","299","299"
"602000","14","14","14","300","300","300"
"604000","14","14","14","301","301","301"
"606000","15","15","15","302","302","302"
"608000","15","15","15","303","303","303"
"610000","14","14","14","304","304","304"
"612000","8","8","8","305","305","305"
"614000","3","3","3","306","306","306"
"616000","14","14","14","307","307","307"
"618000","12","12","12","308","308","308"
"620000","7","7","7","309","309","309"
"622000","13","13","13","310","310","310"
"624000","15","15","15","311","311","311"
"626000","15","15","15","312","312","312"
"628000","14","14","14","313","313","313"
"630000","11","11","11","314","314","314"
"632000","15","15","15","315","315","315"
"634000","15","15","15","316","316","316"
"636000","15","15","15","317","317","317"
"638000","14","14","14","318","318","318"
"640000","11","11","11","319","319","319"
"642000","15","15","15","320","320","320"
"644000","15","15","15","321","321","321"
"646000","7","7","7","322","322","322"
"648000","15","15","15","323","323","323"
"650000","15","15","15","324","324","324"
"652000","15","15","15","325","325","325"
"654000","14","14","14","326","326","326"
"656000","12","12","12","327","327","327"
"658000","13","13","13","328","328","328"
"660000","12","12","12","329","329","329"
"662000","10","10","10","330","330","330"
"664000","15","15","15","331","331","331"
"666000","12","12","12","332","332","332"
"668000","15","15","15","333","333","333"
"670000","15","15","15","334","334","334"
"672000","15","15","15","335","335","335"
"674000","15","15","15","336","336","336"
"676000","13","13","13","337","337","337"
"678000","9","9","9","338","338","338"
"680000","14","14","14","339","339","339"
"682000","15","15","15","340","340","340"
"684000","14","14","14","341","341","341"
"686000","10","10","10","342","342","342"
"688000","10","10","10","343","343","343"
"690000","9","9","9","344","344","344"
"692000","13","13","13","345","345","345"
"694000","13","13","13","346","346","346"
"696000","14","14","14","347","347","347"
"698000","14","14","14","348","348","348"
"700000","13","13","13","349","349","349"
"702000","14","14","14","350","350","350"
"704000","15","15","15","351","351","351"
"706000","14","14","14","352","352","352"
"708000","14","14","14","353","353","353"
"710000","9","9","9","354","354","354"
"712000","13","13","13","355","355","355"
"714000","7","7","7","356","356","356"
"716000","9","9","9","357","357","357"
"718000","10","10","10","358","358","358"
"720000","14","14","14","359","359","359"
"722000","15","15","15","360","360","360"
"724000","14","14","14","361","361","361"
"726000","15","15","15","362","362","362"
"728000","14","14","14","363","363","363"
"730000","13","13","13","364","364","364"
"732000","15","15","15","365","365","365"
"734000","5","5","5","366","366","366"
"736000","14","14","14","367","367","367"
"738000","12","12","12","368","368","368"
"740000","14","14","14","369","369","369"
"742000","15","15","15","370","370","370"
"744000","14","14","14","371","371","371"
"746000","12","12","12","372","372","372"
"748000","14","14","14","373","373","373"
"750000","13","13","13","374","374","374"
"752000","11","11","11","375","375","375"
"754000","12","12","12","376","376","376"
"756000","15","15","15","377","377","377"
"758000","15","15","15","378","378","378"
"760000","15","15","15","379","379","379"
"762000","3","3","3","380","380","380"
"764000","13","13","13","381","381","381"
"766000","7","7","7","382","382","382"
"768000","14","14","14","383","383","383"
"770000","15","15","15","384","384","384"
"772000","15","15","15","385","385","385"
"774000","9","9","9","386","386","386"
"776000","15","15","15","387","387","387"
"778000","15","15","15","388","388","388"
"780000","15","15","15","389","389","389"
"782000","14","14","14","390","390","390"
"784000","14","14","14","391","391","391"
"786000","15","15","15","392","392","392"
"788000","14","14","14","393","393","393"
"790000","13","13","13","394","394","394"
"792000","14","14","14","395","395","395"
"794000","8","8","8","396","396","396"
"796000","9","9","9","397","397","397"
"798000","14","14","14","398","398","398"
"800000","11","11","11","399","399","399"
"802000","10","10","10","400","400","400"
"804000","14","14","14","401","401","401"
"806000","12","12","12","402","402","402"
"808000","15","15","15","403","403","403"
"810000","10","10","10","404","404","404"
"812000","14","14","14","405","405","405"
"814000","14","14","14","406","406","406"
"816000","15","15","15","407","407","407"
"818000","14","14","14","408","408","408"
"820000","11","11","11","409","409","409"
"822000","3","3","3","410","410","410"
"824000","6","6","6","411","411","411"
"826000","8","8","8","412","412","412"
"828000","10","10","10","413","413","413"
"830000","13","13","13","414","414","414"
"832000","15","15","15","415","415","415"
"834000","14","14","14","416","416","416"
"836000","4","4","4","417","417","417"
"838000","12","12","12","418","418","418"
"840000","14","14","14","419","419","419"
"842000","11","11","11","420","420","420"
"844000","15","15","15","421","421","421"
"846000","13","13","13","422","422","422"
"848000","13","13","13","423","423","423"
"850000","11","11","11","424","424","424"
"852000","14","14","14","425","425","425"
"854000","14","14","14","426","426","426"
"856000","6","6","6","427","427","427"
"858000","14","14","14","428","428","428"
