"global_step","251221_DQN - train/final_feat_cross","251221_DQN - train/final_feat_cross__MIN","251221_DQN - train/final_feat_cross__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"258000","1.6562271118164062","1.6562271118164062","1.6562271118164062","128","128","128"
"260000","2.002807140350342","2.002807140350342","2.002807140350342","129","129","129"
"262000","1.7798529863357544","1.7798529863357544","1.7798529863357544","130","130","130"
"264000","2.1674671173095703","2.1674671173095703","2.1674671173095703","131","131","131"
"266000","2.022918701171875","2.022918701171875","2.022918701171875","132","132","132"
"268000","2.1216180324554443","2.1216180324554443","2.1216180324554443","133","133","133"
"270000","1.7754027843475342","1.7754027843475342","1.7754027843475342","134","134","134"
"272000","2.198385715484619","2.198385715484619","2.198385715484619","135","135","135"
"274000","2.068110466003418","2.068110466003418","2.068110466003418","136","136","136"
"276000","1.9085969924926758","1.9085969924926758","1.9085969924926758","137","137","137"
"278000","2.080261707305908","2.080261707305908","2.080261707305908","138","138","138"
"280000","2.1310009956359863","2.1310009956359863","2.1310009956359863","139","139","139"
"282000","1.6707772016525269","1.6707772016525269","1.6707772016525269","140","140","140"
"284000","1.5302263498306274","1.5302263498306274","1.5302263498306274","141","141","141"
"286000","1.7864363193511963","1.7864363193511963","1.7864363193511963","142","142","142"
"288000","1.817354679107666","1.817354679107666","1.817354679107666","143","143","143"
"290000","1.9559895992279053","1.9559895992279053","1.9559895992279053","144","144","144"
"292000","1.8011211156845093","1.8011211156845093","1.8011211156845093","145","145","145"
"294000","2.154977321624756","2.154977321624756","2.154977321624756","146","146","146"
"296000","1.987157940864563","1.987157940864563","1.987157940864563","147","147","147"
"298000","1.9127800464630127","1.9127800464630127","1.9127800464630127","148","148","148"
"300000","1.821547031402588","1.821547031402588","1.821547031402588","149","149","149"
"302000","2.0989737510681152","2.0989737510681152","2.0989737510681152","150","150","150"
"304000","2.140784740447998","2.140784740447998","2.140784740447998","151","151","151"
"306000","2.300370454788208","2.300370454788208","2.300370454788208","152","152","152"
"308000","2.0731446743011475","2.0731446743011475","2.0731446743011475","153","153","153"
"310000","1.7770293951034546","1.7770293951034546","1.7770293951034546","154","154","154"
"312000","2.0816810131073","2.0816810131073","2.0816810131073","155","155","155"
"314000","1.9150879383087158","1.9150879383087158","1.9150879383087158","156","156","156"
"316000","2.0758886337280273","2.0758886337280273","2.0758886337280273","157","157","157"
"318000","2.2279129028320312","2.2279129028320312","2.2279129028320312","158","158","158"
"320000","2.07532000541687","2.07532000541687","2.07532000541687","159","159","159"
"322000","2.1833934783935547","2.1833934783935547","2.1833934783935547","160","160","160"
