"global_step","251221_DQN - rollout/exploration_rate","251221_DQN - rollout/exploration_rate__MIN","251221_DQN - rollout/exploration_rate__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"138000","0.12600000202655792","0.12600000202655792","0.12600000202655792","68","68","68"
"140000","0.1133333370089531","0.1133333370089531","0.1133333370089531","69","69","69"
"142000","0.10066666454076767","0.10066666454076767","0.10066666454076767","70","70","70"
"144000","0.08799999952316284","0.08799999952316284","0.08799999952316284","71","71","71"
"146000","0.07533333450555801","0.07533333450555801","0.07533333450555801","72","72","72"
"148000","0.06266666948795319","0.06266666948795319","0.06266666948795319","73","73","73"
"150000","0.05000000074505806","0.05000000074505806","0.05000000074505806","74","74","74"
"152000","0.05000000074505806","0.05000000074505806","0.05000000074505806","75","75","75"
"154000","0.05000000074505806","0.05000000074505806","0.05000000074505806","76","76","76"
"156000","0.05000000074505806","0.05000000074505806","0.05000000074505806","77","77","77"
"158000","0.05000000074505806","0.05000000074505806","0.05000000074505806","78","78","78"
"160000","0.05000000074505806","0.05000000074505806","0.05000000074505806","79","79","79"
"162000","0.05000000074505806","0.05000000074505806","0.05000000074505806","80","80","80"
"164000","0.05000000074505806","0.05000000074505806","0.05000000074505806","81","81","81"
"166000","0.05000000074505806","0.05000000074505806","0.05000000074505806","82","82","82"
"168000","0.05000000074505806","0.05000000074505806","0.05000000074505806","83","83","83"
"170000","0.05000000074505806","0.05000000074505806","0.05000000074505806","84","84","84"
"172000","0.05000000074505806","0.05000000074505806","0.05000000074505806","85","85","85"
"174000","0.05000000074505806","0.05000000074505806","0.05000000074505806","86","86","86"
"176000","0.05000000074505806","0.05000000074505806","0.05000000074505806","87","87","87"
"178000","0.05000000074505806","0.05000000074505806","0.05000000074505806","88","88","88"
"180000","0.05000000074505806","0.05000000074505806","0.05000000074505806","89","89","89"
"182000","0.05000000074505806","0.05000000074505806","0.05000000074505806","90","90","90"
"184000","0.05000000074505806","0.05000000074505806","0.05000000074505806","91","91","91"
"186000","0.05000000074505806","0.05000000074505806","0.05000000074505806","92","92","92"
"188000","0.05000000074505806","0.05000000074505806","0.05000000074505806","93","93","93"
"190000","0.05000000074505806","0.05000000074505806","0.05000000074505806","94","94","94"
"192000","0.05000000074505806","0.05000000074505806","0.05000000074505806","95","95","95"
"194000","0.05000000074505806","0.05000000074505806","0.05000000074505806","96","96","96"
"196000","0.05000000074505806","0.05000000074505806","0.05000000074505806","97","97","97"
"198000","0.05000000074505806","0.05000000074505806","0.05000000074505806","98","98","98"
"200000","0.05000000074505806","0.05000000074505806","0.05000000074505806","99","99","99"
"202000","0.05000000074505806","0.05000000074505806","0.05000000074505806","100","100","100"
"204000","0.05000000074505806","0.05000000074505806","0.05000000074505806","101","101","101"
"206000","0.05000000074505806","0.05000000074505806","0.05000000074505806","102","102","102"
"208000","0.05000000074505806","0.05000000074505806","0.05000000074505806","103","103","103"
"210000","0.05000000074505806","0.05000000074505806","0.05000000074505806","104","104","104"
"212000","0.05000000074505806","0.05000000074505806","0.05000000074505806","105","105","105"
"214000","0.05000000074505806","0.05000000074505806","0.05000000074505806","106","106","106"
"216000","0.05000000074505806","0.05000000074505806","0.05000000074505806","107","107","107"
"218000","0.05000000074505806","0.05000000074505806","0.05000000074505806","108","108","108"
"220000","0.05000000074505806","0.05000000074505806","0.05000000074505806","109","109","109"
"222000","0.05000000074505806","0.05000000074505806","0.05000000074505806","110","110","110"
"224000","0.05000000074505806","0.05000000074505806","0.05000000074505806","111","111","111"
"226000","0.05000000074505806","0.05000000074505806","0.05000000074505806","112","112","112"
"228000","0.05000000074505806","0.05000000074505806","0.05000000074505806","113","113","113"
