"global_step","251221_DQN - rollout/ep_rew_mean","251221_DQN - rollout/ep_rew_mean__MIN","251221_DQN - rollout/ep_rew_mean__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"148000","-109.0784912109375","-109.0784912109375","-109.0784912109375","73","73","73"
"150000","-108.95035552978516","-108.95035552978516","-108.95035552978516","74","74","74"
"152000","-105.78023529052734","-105.78023529052734","-105.78023529052734","75","75","75"
"154000","-102.37393951416016","-102.37393951416016","-102.37393951416016","76","76","76"
"156000","-103.58959197998047","-103.58959197998047","-103.58959197998047","77","77","77"
"158000","-101.82487487792969","-101.82487487792969","-101.82487487792969","78","78","78"
"160000","-102.61363983154297","-102.61363983154297","-102.61363983154297","79","79","79"
"162000","-100.84778594970703","-100.84778594970703","-100.84778594970703","80","80","80"
"164000","-104.8172836303711","-104.8172836303711","-104.8172836303711","81","81","81"
"166000","-103.18280792236328","-103.18280792236328","-103.18280792236328","82","82","82"
"168000","-101.31040954589844","-101.31040954589844","-101.31040954589844","83","83","83"
"170000","-100.09430694580078","-100.09430694580078","-100.09430694580078","84","84","84"
"172000","-108.57778930664062","-108.57778930664062","-108.57778930664062","85","85","85"
"174000","-108.3299331665039","-108.3299331665039","-108.3299331665039","86","86","86"
"176000","-110.65492248535156","-110.65492248535156","-110.65492248535156","87","87","87"
"178000","-112.45331573486328","-112.45331573486328","-112.45331573486328","88","88","88"
"180000","-119.97183227539062","-119.97183227539062","-119.97183227539062","89","89","89"
"182000","-118.25953674316406","-118.25953674316406","-118.25953674316406","90","90","90"
"184000","-113.54339599609375","-113.54339599609375","-113.54339599609375","91","91","91"
"186000","-122.28438568115234","-122.28438568115234","-122.28438568115234","92","92","92"
"188000","-120.38072204589844","-120.38072204589844","-120.38072204589844","93","93","93"
"190000","-117.51426696777344","-117.51426696777344","-117.51426696777344","94","94","94"
"192000","-119.70594787597656","-119.70594787597656","-119.70594787597656","95","95","95"
"194000","-119.04313659667969","-119.04313659667969","-119.04313659667969","96","96","96"
"196000","-113.98499298095703","-113.98499298095703","-113.98499298095703","97","97","97"
"198000","-117.19406127929688","-117.19406127929688","-117.19406127929688","98","98","98"
"200000","-112.54415893554688","-112.54415893554688","-112.54415893554688","99","99","99"
"202000","-112.69503784179688","-112.69503784179688","-112.69503784179688","100","100","100"
"204000","-111.87458801269531","-111.87458801269531","-111.87458801269531","101","101","101"
"206000","-107.8785629272461","-107.8785629272461","-107.8785629272461","102","102","102"
"208000","-109.93917846679688","-109.93917846679688","-109.93917846679688","103","103","103"
"210000","-107.10358428955078","-107.10358428955078","-107.10358428955078","104","104","104"
"212000","-105.55661010742188","-105.55661010742188","-105.55661010742188","105","105","105"
"214000","-105.89723205566406","-105.89723205566406","-105.89723205566406","106","106","106"
"216000","-109.6035385131836","-109.6035385131836","-109.6035385131836","107","107","107"
"218000","-111.58970642089844","-111.58970642089844","-111.58970642089844","108","108","108"
"220000","-117.96983337402344","-117.96983337402344","-117.96983337402344","109","109","109"
"222000","-112.1434326171875","-112.1434326171875","-112.1434326171875","110","110","110"
"224000","-108.4265365600586","-108.4265365600586","-108.4265365600586","111","111","111"
"226000","-106.68260955810547","-106.68260955810547","-106.68260955810547","112","112","112"
"228000","-104.84310150146484","-104.84310150146484","-104.84310150146484","113","113","113"
"230000","-99.99862670898438","-99.99862670898438","-99.99862670898438","114","114","114"
"232000","-101.33872985839844","-101.33872985839844","-101.33872985839844","115","115","115"
"234000","-107.1881103515625","-107.1881103515625","-107.1881103515625","116","116","116"
"236000","-110.92463684082031","-110.92463684082031","-110.92463684082031","117","117","117"
"238000","-110.44561004638672","-110.44561004638672","-110.44561004638672","118","118","118"
"240000","-109.63208770751953","-109.63208770751953","-109.63208770751953","119","119","119"
"242000","-110.48322296142578","-110.48322296142578","-110.48322296142578","120","120","120"
"244000","-114.78074645996094","-114.78074645996094","-114.78074645996094","121","121","121"
"246000","-118.30908203125","-118.30908203125","-118.30908203125","122","122","122"
"248000","-118.93248748779297","-118.93248748779297","-118.93248748779297","123","123","123"
"250000","-122.89806365966797","-122.89806365966797","-122.89806365966797","124","124","124"
"252000","-120.8213119506836","-120.8213119506836","-120.8213119506836","125","125","125"
"254000","-124.66334533691406","-124.66334533691406","-124.66334533691406","126","126","126"
"256000","-130.0043487548828","-130.0043487548828","-130.0043487548828","127","127","127"
"258000","-129.060546875","-129.060546875","-129.060546875","128","128","128"
"260000","-131.40635681152344","-131.40635681152344","-131.40635681152344","129","129","129"
"262000","-134.22354125976562","-134.22354125976562","-134.22354125976562","130","130","130"
"264000","-135.0152130126953","-135.0152130126953","-135.0152130126953","131","131","131"
"266000","-139.6263427734375","-139.6263427734375","-139.6263427734375","132","132","132"
"268000","-138.28793334960938","-138.28793334960938","-138.28793334960938","133","133","133"
"270000","-129.47694396972656","-129.47694396972656","-129.47694396972656","134","134","134"
"272000","-125.94773864746094","-125.94773864746094","-125.94773864746094","135","135","135"
"274000","-134.60716247558594","-134.60716247558594","-134.60716247558594","136","136","136"
"276000","-134.02212524414062","-134.02212524414062","-134.02212524414062","137","137","137"
"278000","-140.69508361816406","-140.69508361816406","-140.69508361816406","138","138","138"
"280000","-142.62635803222656","-142.62635803222656","-142.62635803222656","139","139","139"
"282000","-141.40826416015625","-141.40826416015625","-141.40826416015625","140","140","140"
"284000","-138.774169921875","-138.774169921875","-138.774169921875","141","141","141"
"286000","-131.71804809570312","-131.71804809570312","-131.71804809570312","142","142","142"
"288000","-128.0827178955078","-128.0827178955078","-128.0827178955078","143","143","143"
"290000","-129.0099639892578","-129.0099639892578","-129.0099639892578","144","144","144"
"292000","-128.2484130859375","-128.2484130859375","-128.2484130859375","145","145","145"
"294000","-123.58937072753906","-123.58937072753906","-123.58937072753906","146","146","146"
"296000","-125.81552124023438","-125.81552124023438","-125.81552124023438","147","147","147"
"298000","-127.94904327392578","-127.94904327392578","-127.94904327392578","148","148","148"
"300000","-128.65890502929688","-128.65890502929688","-128.65890502929688","149","149","149"
"302000","-134.32003784179688","-134.32003784179688","-134.32003784179688","150","150","150"
"304000","-131.52194213867188","-131.52194213867188","-131.52194213867188","151","151","151"
"306000","-129.35025024414062","-129.35025024414062","-129.35025024414062","152","152","152"
"308000","-131.79014587402344","-131.79014587402344","-131.79014587402344","153","153","153"
"310000","-136.24691772460938","-136.24691772460938","-136.24691772460938","154","154","154"
"312000","-135.0431671142578","-135.0431671142578","-135.0431671142578","155","155","155"
"314000","-131.97779846191406","-131.97779846191406","-131.97779846191406","156","156","156"
"316000","-134.42800903320312","-134.42800903320312","-134.42800903320312","157","157","157"
"318000","-134.87521362304688","-134.87521362304688","-134.87521362304688","158","158","158"
"320000","-140.06463623046875","-140.06463623046875","-140.06463623046875","159","159","159"
"322000","-141.31729125976562","-141.31729125976562","-141.31729125976562","160","160","160"
"324000","-137.8976287841797","-137.8976287841797","-137.8976287841797","161","161","161"
"326000","-138.84042358398438","-138.84042358398438","-138.84042358398438","162","162","162"
"328000","-137.26419067382812","-137.26419067382812","-137.26419067382812","163","163","163"
"330000","-137.52066040039062","-137.52066040039062","-137.52066040039062","164","164","164"
"332000","-139.08016967773438","-139.08016967773438","-139.08016967773438","165","165","165"
"334000","-135.10890197753906","-135.10890197753906","-135.10890197753906","166","166","166"
"336000","-138.4309844970703","-138.4309844970703","-138.4309844970703","167","167","167"
"338000","-140.9801483154297","-140.9801483154297","-140.9801483154297","168","168","168"
"340000","-143.16148376464844","-143.16148376464844","-143.16148376464844","169","169","169"
"342000","-140.9219207763672","-140.9219207763672","-140.9219207763672","170","170","170"
"344000","-140.7445526123047","-140.7445526123047","-140.7445526123047","171","171","171"
"346000","-139.80653381347656","-139.80653381347656","-139.80653381347656","172","172","172"
"348000","-140.3997802734375","-140.3997802734375","-140.3997802734375","173","173","173"
"350000","-144.32728576660156","-144.32728576660156","-144.32728576660156","174","174","174"
"352000","-134.1145477294922","-134.1145477294922","-134.1145477294922","175","175","175"
"354000","-142.56600952148438","-142.56600952148438","-142.56600952148438","176","176","176"
"356000","-147.62203979492188","-147.62203979492188","-147.62203979492188","177","177","177"
"358000","-140.151611328125","-140.151611328125","-140.151611328125","178","178","178"
"360000","-135.5266571044922","-135.5266571044922","-135.5266571044922","179","179","179"
"362000","-138.88673400878906","-138.88673400878906","-138.88673400878906","180","180","180"
"364000","-138.6575927734375","-138.6575927734375","-138.6575927734375","181","181","181"
"366000","-134.07366943359375","-134.07366943359375","-134.07366943359375","182","182","182"
"368000","-133.04266357421875","-133.04266357421875","-133.04266357421875","183","183","183"
"370000","-137.43006896972656","-137.43006896972656","-137.43006896972656","184","184","184"
"372000","-139.09710693359375","-139.09710693359375","-139.09710693359375","185","185","185"
"374000","-140.97857666015625","-140.97857666015625","-140.97857666015625","186","186","186"
"376000","-141.08460998535156","-141.08460998535156","-141.08460998535156","187","187","187"
"378000","-133.66659545898438","-133.66659545898438","-133.66659545898438","188","188","188"
"380000","-132.45013427734375","-132.45013427734375","-132.45013427734375","189","189","189"
"382000","-132.09170532226562","-132.09170532226562","-132.09170532226562","190","190","190"
"384000","-135.07872009277344","-135.07872009277344","-135.07872009277344","191","191","191"
"386000","-139.3301544189453","-139.3301544189453","-139.3301544189453","192","192","192"
"388000","-136.06988525390625","-136.06988525390625","-136.06988525390625","193","193","193"
"390000","-138.71868896484375","-138.71868896484375","-138.71868896484375","194","194","194"
"392000","-146.2562255859375","-146.2562255859375","-146.2562255859375","195","195","195"
"394000","-144.91502380371094","-144.91502380371094","-144.91502380371094","196","196","196"
"396000","-150.3353729248047","-150.3353729248047","-150.3353729248047","197","197","197"
"398000","-149.18386840820312","-149.18386840820312","-149.18386840820312","198","198","198"
"400000","-147.65940856933594","-147.65940856933594","-147.65940856933594","199","199","199"
"402000","-163.43397521972656","-163.43397521972656","-163.43397521972656","200","200","200"
"404000","-159.83360290527344","-159.83360290527344","-159.83360290527344","201","201","201"
"406000","-155.96849060058594","-155.96849060058594","-155.96849060058594","202","202","202"
"408000","-168.15635681152344","-168.15635681152344","-168.15635681152344","203","203","203"
"410000","-170.49078369140625","-170.49078369140625","-170.49078369140625","204","204","204"
"412000","-175.01824951171875","-175.01824951171875","-175.01824951171875","205","205","205"
"414000","-177.35076904296875","-177.35076904296875","-177.35076904296875","206","206","206"
"416000","-175.47113037109375","-175.47113037109375","-175.47113037109375","207","207","207"
"418000","-176.9352569580078","-176.9352569580078","-176.9352569580078","208","208","208"
"420000","-169.62350463867188","-169.62350463867188","-169.62350463867188","209","209","209"
"422000","-169.5819854736328","-169.5819854736328","-169.5819854736328","210","210","210"
"424000","-167.28317260742188","-167.28317260742188","-167.28317260742188","211","211","211"
"426000","-173.60061645507812","-173.60061645507812","-173.60061645507812","212","212","212"
"428000","-182.3759002685547","-182.3759002685547","-182.3759002685547","213","213","213"
"430000","-184.54298400878906","-184.54298400878906","-184.54298400878906","214","214","214"
"432000","-185.0771026611328","-185.0771026611328","-185.0771026611328","215","215","215"
"434000","-188.6909637451172","-188.6909637451172","-188.6909637451172","216","216","216"
"436000","-180.32940673828125","-180.32940673828125","-180.32940673828125","217","217","217"
"438000","-188.89450073242188","-188.89450073242188","-188.89450073242188","218","218","218"
"440000","-190.3614501953125","-190.3614501953125","-190.3614501953125","219","219","219"
"442000","-188.2928924560547","-188.2928924560547","-188.2928924560547","220","220","220"
"444000","-191.42787170410156","-191.42787170410156","-191.42787170410156","221","221","221"
"446000","-185.98681640625","-185.98681640625","-185.98681640625","222","222","222"
"448000","-188.07211303710938","-188.07211303710938","-188.07211303710938","223","223","223"
"450000","-187.26873779296875","-187.26873779296875","-187.26873779296875","224","224","224"
"452000","-181.2488250732422","-181.2488250732422","-181.2488250732422","225","225","225"
"454000","-180.13812255859375","-180.13812255859375","-180.13812255859375","226","226","226"
"456000","-178.73162841796875","-178.73162841796875","-178.73162841796875","227","227","227"
"458000","-178.4279327392578","-178.4279327392578","-178.4279327392578","228","228","228"
"460000","-177.2195281982422","-177.2195281982422","-177.2195281982422","229","229","229"
"462000","-175.17025756835938","-175.17025756835938","-175.17025756835938","230","230","230"
"464000","-173.1383514404297","-173.1383514404297","-173.1383514404297","231","231","231"
"466000","-173.8857421875","-173.8857421875","-173.8857421875","232","232","232"
"468000","-168.5478973388672","-168.5478973388672","-168.5478973388672","233","233","233"
"470000","-173.1061248779297","-173.1061248779297","-173.1061248779297","234","234","234"
"472000","-180.00631713867188","-180.00631713867188","-180.00631713867188","235","235","235"
"474000","-179.3692626953125","-179.3692626953125","-179.3692626953125","236","236","236"
"476000","-178.8329620361328","-178.8329620361328","-178.8329620361328","237","237","237"
"478000","-176.842529296875","-176.842529296875","-176.842529296875","238","238","238"
"480000","-178.96054077148438","-178.96054077148438","-178.96054077148438","239","239","239"
"482000","-181.81988525390625","-181.81988525390625","-181.81988525390625","240","240","240"
"484000","-186.6211700439453","-186.6211700439453","-186.6211700439453","241","241","241"
"486000","-187.7819061279297","-187.7819061279297","-187.7819061279297","242","242","242"
"488000","-184.56747436523438","-184.56747436523438","-184.56747436523438","243","243","243"
"490000","-182.0062255859375","-182.0062255859375","-182.0062255859375","244","244","244"
"492000","-189.54542541503906","-189.54542541503906","-189.54542541503906","245","245","245"
"494000","-187.0796661376953","-187.0796661376953","-187.0796661376953","246","246","246"
"496000","-192.39515686035156","-192.39515686035156","-192.39515686035156","247","247","247"
"498000","-189.59951782226562","-189.59951782226562","-189.59951782226562","248","248","248"
"500000","-183.6735076904297","-183.6735076904297","-183.6735076904297","249","249","249"
"502000","-183.1194610595703","-183.1194610595703","-183.1194610595703","250","250","250"
"504000","-185.12020874023438","-185.12020874023438","-185.12020874023438","251","251","251"
"506000","-186.58480834960938","-186.58480834960938","-186.58480834960938","252","252","252"
"508000","-182.681396484375","-182.681396484375","-182.681396484375","253","253","253"
"510000","-185.33328247070312","-185.33328247070312","-185.33328247070312","254","254","254"
"512000","-192.08494567871094","-192.08494567871094","-192.08494567871094","255","255","255"
"514000","-193.40634155273438","-193.40634155273438","-193.40634155273438","256","256","256"
"516000","-191.99232482910156","-191.99232482910156","-191.99232482910156","257","257","257"
"518000","-200.8197784423828","-200.8197784423828","-200.8197784423828","258","258","258"
"520000","-198.8358154296875","-198.8358154296875","-198.8358154296875","259","259","259"
"522000","-186.34115600585938","-186.34115600585938","-186.34115600585938","260","260","260"
"524000","-183.53341674804688","-183.53341674804688","-183.53341674804688","261","261","261"
"526000","-178.04544067382812","-178.04544067382812","-178.04544067382812","262","262","262"
"528000","-170.36129760742188","-170.36129760742188","-170.36129760742188","263","263","263"
"530000","-169.71746826171875","-169.71746826171875","-169.71746826171875","264","264","264"
"532000","-165.59153747558594","-165.59153747558594","-165.59153747558594","265","265","265"
"534000","-161.1310577392578","-161.1310577392578","-161.1310577392578","266","266","266"
"536000","-160.0519561767578","-160.0519561767578","-160.0519561767578","267","267","267"
"538000","-166.97561645507812","-166.97561645507812","-166.97561645507812","268","268","268"
"540000","-167.02249145507812","-167.02249145507812","-167.02249145507812","269","269","269"
"542000","-153.74195861816406","-153.74195861816406","-153.74195861816406","270","270","270"
"544000","-149.7012939453125","-149.7012939453125","-149.7012939453125","271","271","271"
"546000","-144.92364501953125","-144.92364501953125","-144.92364501953125","272","272","272"
"548000","-143.0302276611328","-143.0302276611328","-143.0302276611328","273","273","273"
"550000","-154.32345581054688","-154.32345581054688","-154.32345581054688","274","274","274"
"552000","-151.9022674560547","-151.9022674560547","-151.9022674560547","275","275","275"
"554000","-146.76467895507812","-146.76467895507812","-146.76467895507812","276","276","276"
"556000","-149.60691833496094","-149.60691833496094","-149.60691833496094","277","277","277"
"558000","-154.14413452148438","-154.14413452148438","-154.14413452148438","278","278","278"
"560000","-150.1648406982422","-150.1648406982422","-150.1648406982422","279","279","279"
"562000","-146.7144775390625","-146.7144775390625","-146.7144775390625","280","280","280"
"564000","-147.6875762939453","-147.6875762939453","-147.6875762939453","281","281","281"
"566000","-150.60906982421875","-150.60906982421875","-150.60906982421875","282","282","282"
"568000","-142.90513610839844","-142.90513610839844","-142.90513610839844","283","283","283"
"570000","-144.62457275390625","-144.62457275390625","-144.62457275390625","284","284","284"
"572000","-151.63002014160156","-151.63002014160156","-151.63002014160156","285","285","285"
"574000","-155.0043182373047","-155.0043182373047","-155.0043182373047","286","286","286"
"576000","-160.87936401367188","-160.87936401367188","-160.87936401367188","287","287","287"
"578000","-161.04379272460938","-161.04379272460938","-161.04379272460938","288","288","288"
"580000","-150.31350708007812","-150.31350708007812","-150.31350708007812","289","289","289"
"582000","-155.0865478515625","-155.0865478515625","-155.0865478515625","290","290","290"
"584000","-161.06927490234375","-161.06927490234375","-161.06927490234375","291","291","291"
"586000","-160.65171813964844","-160.65171813964844","-160.65171813964844","292","292","292"
"588000","-151.67294311523438","-151.67294311523438","-151.67294311523438","293","293","293"
"590000","-151.42813110351562","-151.42813110351562","-151.42813110351562","294","294","294"
"592000","-161.12368774414062","-161.12368774414062","-161.12368774414062","295","295","295"
"594000","-169.5570831298828","-169.5570831298828","-169.5570831298828","296","296","296"
"596000","-171.7946319580078","-171.7946319580078","-171.7946319580078","297","297","297"
"598000","-176.2073516845703","-176.2073516845703","-176.2073516845703","298","298","298"
"600000","-170.5552978515625","-170.5552978515625","-170.5552978515625","299","299","299"
"602000","-172.51686096191406","-172.51686096191406","-172.51686096191406","300","300","300"
"604000","-171.26174926757812","-171.26174926757812","-171.26174926757812","301","301","301"
"606000","-165.89413452148438","-165.89413452148438","-165.89413452148438","302","302","302"
"608000","-163.83224487304688","-163.83224487304688","-163.83224487304688","303","303","303"
"610000","-162.50157165527344","-162.50157165527344","-162.50157165527344","304","304","304"
"612000","-156.60939025878906","-156.60939025878906","-156.60939025878906","305","305","305"
"614000","-152.54702758789062","-152.54702758789062","-152.54702758789062","306","306","306"
"616000","-150.43312072753906","-150.43312072753906","-150.43312072753906","307","307","307"
"618000","-156.2726593017578","-156.2726593017578","-156.2726593017578","308","308","308"
"620000","-154.4934844970703","-154.4934844970703","-154.4934844970703","309","309","309"
"622000","-153.8694610595703","-153.8694610595703","-153.8694610595703","310","310","310"
"624000","-152.24363708496094","-152.24363708496094","-152.24363708496094","311","311","311"
"626000","-151.05941772460938","-151.05941772460938","-151.05941772460938","312","312","312"
"628000","-163.3610076904297","-163.3610076904297","-163.3610076904297","313","313","313"
"630000","-170.54953002929688","-170.54953002929688","-170.54953002929688","314","314","314"
"632000","-168.31735229492188","-168.31735229492188","-168.31735229492188","315","315","315"
"634000","-159.99668884277344","-159.99668884277344","-159.99668884277344","316","316","316"
"636000","-166.51210021972656","-166.51210021972656","-166.51210021972656","317","317","317"
"638000","-173.7771759033203","-173.7771759033203","-173.7771759033203","318","318","318"
"640000","-181.43670654296875","-181.43670654296875","-181.43670654296875","319","319","319"
"642000","-179.1402587890625","-179.1402587890625","-179.1402587890625","320","320","320"
"644000","-174.68190002441406","-174.68190002441406","-174.68190002441406","321","321","321"
"646000","-175.0592803955078","-175.0592803955078","-175.0592803955078","322","322","322"
"648000","-171.68505859375","-171.68505859375","-171.68505859375","323","323","323"
"650000","-168.4999237060547","-168.4999237060547","-168.4999237060547","324","324","324"
"652000","-167.29776000976562","-167.29776000976562","-167.29776000976562","325","325","325"
"654000","-167.3695831298828","-167.3695831298828","-167.3695831298828","326","326","326"
"656000","-172.70396423339844","-172.70396423339844","-172.70396423339844","327","327","327"
"658000","-169.15750122070312","-169.15750122070312","-169.15750122070312","328","328","328"
"660000","-172.6560516357422","-172.6560516357422","-172.6560516357422","329","329","329"
"662000","-180.35691833496094","-180.35691833496094","-180.35691833496094","330","330","330"
"664000","-186.00616455078125","-186.00616455078125","-186.00616455078125","331","331","331"
"666000","-183.19525146484375","-183.19525146484375","-183.19525146484375","332","332","332"
"668000","-178.29954528808594","-178.29954528808594","-178.29954528808594","333","333","333"
"670000","-178.17076110839844","-178.17076110839844","-178.17076110839844","334","334","334"
"672000","-175.9896240234375","-175.9896240234375","-175.9896240234375","335","335","335"
"674000","-174.9545440673828","-174.9545440673828","-174.9545440673828","336","336","336"
"676000","-174.086669921875","-174.086669921875","-174.086669921875","337","337","337"
"678000","-168.2764434814453","-168.2764434814453","-168.2764434814453","338","338","338"
"680000","-174.26515197753906","-174.26515197753906","-174.26515197753906","339","339","339"
"682000","-175.32196044921875","-175.32196044921875","-175.32196044921875","340","340","340"
"684000","-178.3990478515625","-178.3990478515625","-178.3990478515625","341","341","341"
"686000","-172.6200714111328","-172.6200714111328","-172.6200714111328","342","342","342"
"688000","-166.71286010742188","-166.71286010742188","-166.71286010742188","343","343","343"
"690000","-167.82476806640625","-167.82476806640625","-167.82476806640625","344","344","344"
"692000","-170.48587036132812","-170.48587036132812","-170.48587036132812","345","345","345"
"694000","-179.6006317138672","-179.6006317138672","-179.6006317138672","346","346","346"
"696000","-178.70933532714844","-178.70933532714844","-178.70933532714844","347","347","347"
"698000","-179.9033660888672","-179.9033660888672","-179.9033660888672","348","348","348"
"700000","-181.94708251953125","-181.94708251953125","-181.94708251953125","349","349","349"
"702000","-179.47210693359375","-179.47210693359375","-179.47210693359375","350","350","350"
"704000","-181.51458740234375","-181.51458740234375","-181.51458740234375","351","351","351"
"706000","-180.8323211669922","-180.8323211669922","-180.8323211669922","352","352","352"
"708000","-179.3748321533203","-179.3748321533203","-179.3748321533203","353","353","353"
"710000","-188.90194702148438","-188.90194702148438","-188.90194702148438","354","354","354"
"712000","-184.1531982421875","-184.1531982421875","-184.1531982421875","355","355","355"
"714000","-183.5648651123047","-183.5648651123047","-183.5648651123047","356","356","356"
"716000","-188.337890625","-188.337890625","-188.337890625","357","357","357"
"718000","-194.8153839111328","-194.8153839111328","-194.8153839111328","358","358","358"
"720000","-200.1148681640625","-200.1148681640625","-200.1148681640625","359","359","359"
"722000","-205.40823364257812","-205.40823364257812","-205.40823364257812","360","360","360"
"724000","-204.2858123779297","-204.2858123779297","-204.2858123779297","361","361","361"
"726000","-204.6808624267578","-204.6808624267578","-204.6808624267578","362","362","362"
"728000","-202.72506713867188","-202.72506713867188","-202.72506713867188","363","363","363"
